AGID,12-Nov,21/22,111/112,121/122,211/212,221/222,311/312,321/322,411/412,421/422,511/512,521/522,611/612,621/622,711/712,721/722,811/812,821/822,1111/1112,11121/1122,1211/1212,1221/1222,1311/1312,1321/1322,1411/1412,1421/1422,1511/1512,1521/1522,1611/1612,1621/1622,2111/2112,2121/2122,2211/2212,2221/2222,2311/2312,2321/2322,2411/2412,2421/2422,2511/2512,2521/2522,2611/2612,2621/2622,3111/3112,3121/3122,3211/3212,3221/3222,3311/3312,3321/3322,3411/3412,3421/3422,3511/3512,3521/3522,3611/3612,3621/22,4111/12,4121/22,4211/12,4221/22,4311/12,4321/22,4411/12,4421/22,4511/12,4521/22,4611/12,4621/22,4711/12,4721/22,5111/12,5121/22,5211/12,5221/22,5311/12,5321/22,5411/12,5421/22,5511/12,5521/22,5611/12,5621/22,6111/12,6122/24,6211/12,6223/24,6311/12,6322/23,6411/12,6421/22,6511/12,6523/24,6611/12,6621/25,7111/12,7121/22,7211/12,7221/22,7311/12,7321/22,7411/12,7421/22,7511/12,7521/22,7611/12,7621/22,7711/12,7721/22,8111/12,8124/26,8211/14,8224/25,8313/14,8324/25,8411/12,8423/24,8511/12,8524/25,8611/12,8624/,8712/15,8723/24,9111/12,9121/22,9211/12,9221/22,9311/12,9321/22,9411/12,9421/22,9511/12,9521/22,9611/12,9621/22,9711/12,9721/22,9811/12,9821/22,C0_1/2,C10_1/2,C11_1/2,C12_1/2,C1_1/2,C2_1/2,C3_1/2,C4_1/2,C5_1/2,C6_1/2,C7_1/2,C8_1/2,C9_1/2
AT1G15580,3.90308461,2.769355036,5.762163774,2.817112054,4.828528452,3.020862931,5.10770494,2.996768456,3.591710521,2.798327022,3.420404391,2.991047691,5.120290552,2.951188416,4.880412049,2.984651722,3.969143516,2.849819961,5.314954265,2.853237092,5.052939377,2.94877714,5.912275842,3.144900966,6.087468549,2.822650624,6.800604267,3.076265606,7.712012988,3.515471609,3.963917899,2.992543198,5.760722403,2.969970317,4.482073956,2.84880624,4.623593233,2.964144031,3.177634964,3.05879786,3.293835296,2.992270988,6.581393815,3.019307995,5.023853575,3.040876192,5.697627661,4.132706995,5.308745547,4.268741881,3.270982056,3.038131754,4.394323795,3.053796341,6.804609899,2.827292782,6.645760391,2.768314002,5.301833034,2.870308247,3.870413315,2.991160509,3.477909111,2.89287663,4.312389962,2.981840645,4.895494052,2.772875911,4.960996245,2.795569366,4.633173823,2.85593227,6.931943454,2.978674523,6.470951437,3.046413778,5.789366676,3.896848772,6.607877055,4.235084578,5.226011863,2.807778594,5.403484246,2.790587255,5.692637003,3.045808996,3.789750081,2.790450237,3.408990833,2.908038511,4.503090258,2.781153699,4.469928253,2.770168601,5.600185812,2.936154938,4.361416057,2.830090864,3.495446037,2.720816454,3.365723304,2.92743975,4.799195273,2.773336741,2.773336741,2.968637424,6.564041734,2.676790462,7.699327836,2.914318195,6.812240403,2.914515479,5.044067262,2.917352158,3.422321852,2.712384373,5.071944991,2.773973851,3.623612252,2.844853976,5.85704073,2.936803083,5.887553086,3.001405399,5.265931871,6.639500322,4.145382064,2.771954831,3.247972756,2.706034395,5.051064489,2.784037291,6.048535356,2.947576857,5.508178087,2.786655248,5.820737491,7.671898296,8.558683425,9.16547974,7.698462,7.831216717,7.765853099,8.371568514,5.379871356,5.147996355,4.020789916,3.956937644,7.404911772
AT1G50640,7.934753321,8.211523807,7.948559706,8.896412733,8.239473989,8.949338663,7.978270262,8.72795481,8.121093457,8.545174773,8.124983739,8.350321641,7.897233518,8.712375285,7.912358531,8.784767776,7.937900888,8.485562236,7.278218575,8.863140234,8.328462749,9.050822648,8.564368132,9.46840324,8.931655529,9.009973389,8.936508564,8.94009643,8.321848337,9.147290008,7.875421541,8.875808858,8.774207764,9.001219785,8.504082217,8.980229896,8.390882363,8.910693959,8.67623295,8.866918698,8.571804508,8.980944137,8.036201496,8.95950265,8.306004304,9.152154806,7.891097162,8.987531083,8.040545265,8.446154994,8.27051448,8.414223717,8.42842936,8.543813057,9.281275321,9.499407011,9.108536783,9.439351388,8.433898906,8.825610869,8.26470366,8.665717163,8.472200624,8.533663457,8.23054722,8.660668535,8.199361458,9.255626465,8.225373443,9.001615094,8.941695237,8.901535708,8.23597526,8.559275747,8.512384132,8.677974657,8.796980283,8.467490997,8.224736889,8.52424501,8.121242284,8.911930446,8.455722865,8.53638088,8.367161627,8.970402368,8.475878478,8.903229631,8.822955671,8.660524277,8.674781188,8.751462744,8.92844207,8.73939784,9.387179229,8.824712705,9.122878258,9.070627131,8.533265291,8.734068916,7.942943475,8.57765131,8.124048942,9.035939797,9.035939797,8.992074686,8.665127697,8.710753875,8.959978552,8.683624606,8.041136683,8.852355016,7.780626163,8.894345635,8.119586654,9.147206928,7.209545189,8.723014532,8.257783814,9.046415073,8.166825055,8.494453898,8.593748294,8.79560925,8.972784808,6.071017663,8.142549473,8.706830738,7.811253723,6.935069697,6.880813623,7.139195336,6.336854906,7.801253576,5.901534059,7.754289697,8.199846893,8.685932772,8.279687699,8.665504354,8.522048599,8.458022687,8.417956752,7.946237565,8.459231266,8.52180807,8.777493406,9.66290189,9.285273581
AT1G02340,4.272708551,5.963711618,4.760163186,6.258229416,5.209479233,6.41116968,6.334628917,6.224079073,4.570874687,6.29669235,4.026087926,5.837863864,6.287038222,7.004685767,5.502506323,6.421906484,5.216578499,6.534786224,5.397146136,6.712364863,6.684620134,6.871942859,6.763775259,6.907773568,6.15565612,7.186494918,7.985935926,6.8181404,9.857093888,7.147893452,4.21539947,7.294065872,5.321902111,8.039964893,5.403346533,7.746389893,4.544839799,7.330081586,4.10742103,7.54260115,4.004826457,7.948564543,4.675105736,6.968944746,5.266917795,7.328977061,5.920933583,7.062577143,5.17051721,6.700887583,3.596560465,7.11469034,4.185080795,8.068925521,5.025945918,5.025302663,5.276292988,6.029713896,5.265530457,6.05733065,4.694413406,5.855625576,3.595565704,5.495474432,6.194304307,6.520017801,4.885453566,6.586157392,5.031270329,6.045584947,5.489855795,6.271935122,5.327205626,6.179169864,5.14185403,5.964777173,3.417271537,5.887890122,5.387424086,6.653979689,4.929290425,6.358092899,4.780621947,6.460881673,5.771511441,6.699353892,4.280069327,7.081465319,3.591948872,5.947858118,5.170695491,7.602569924,5.570954072,7.253981458,7.01435376,7.823119983,3.661484336,6.36202342,4.185379756,6.593990927,3.364938882,6.739867279,5.405946738,8.324320446,8.324320446,6.581445692,3.961668348,6.57615027,4.889480048,6.85685904,5.991596165,6.902683854,4.31391275,7.381006643,4.09828147,6.047082195,5.764282869,7.308522238,4.306302459,6.872263425,4.798072468,6.992485822,4.696601861,6.799923314,6.72507641,7.079421132,4.664264663,6.189336099,3.959295669,6.706826146,5.695826352,7.097757565,5.615892508,7.044611078,6.399377643,6.530132027,3.999669026,4.029788599,3.731672213,4.316987099,3.902198295,4.25517763,3.989760244,3.145922863,4.511722715,4.424275497,3.488375898,4.098636639,3.850453768
AT1G05805,6.724982546,7.211490641,8.170853849,7.617515534,7.463417142,7.923782598,9.024560498,7.602380594,9.159330883,7.556367989,7.890401218,7.287994543,6.623534365,7.41110768,8.425365519,7.597823042,8.90351976,7.581545228,6.92233299,7.498903598,7.527863257,7.44576007,8.451601581,7.86146828,9.571520176,8.070157017,10.10591154,8.039112134,9.019798293,7.754368655,8.103727279,7.43252785,7.483710081,7.167769837,8.249922696,6.682568084,8.284400416,6.746730356,6.89855374,6.410631239,6.583763185,6.704555886,8.319844201,7.563190135,7.696040066,7.424901627,8.253017792,6.989794971,8.531182509,7.084943399,7.478335283,6.688406157,5.766412372,6.827384257,7.446926083,7.546005346,7.399165275,7.84530974,9.058191061,7.765330024,9.395846066,7.652777211,7.781428724,7.22301974,7.562156971,7.621779357,7.008575691,7.282373365,8.908060934,7.786391159,8.448636002,7.933485273,8.960674741,7.763285285,9.773336341,7.827570087,8.273528829,7.31453752,6.890085358,7.422709711,8.127545355,7.789444802,7.264952461,7.52532258,9.390546483,7.679821125,9.751416839,7.875637272,8.304263452,7.271906483,7.287322341,7.641885083,7.406984862,7.449827885,7.2668457,7.595168013,7.32947001,7.405487527,8.355353042,7.50763715,7.423370857,7.126879894,7.299731727,7.666531718,7.666531718,7.55848553,7.267702219,7.852288404,7.752330216,7.842521017,8.755297192,7.876174909,8.795414507,8.156298493,7.76047526,7.406749698,7.321542816,7.74173577,7.167906229,7.917205137,7.28402374,7.40987398,6.881024914,7.304336163,8.281995566,6.513574846,9.092537817,7.552305606,7.76178994,7.474472928,6.856987157,7.660212869,7.829908862,7.587495786,8.764195944,8.132428499,4.876252933,3.695852016,4.597381779,5.321600786,5.273224437,5.125209933,5.57876096,5.808971043,4.122904092,4.629195775,3.955963394,2.906046325,3.419540229
AT1G12610,2.625500466,2.377642404,2.690318817,3.399139063,2.668015268,2.556440181,2.660298267,2.468051955,2.715453116,2.501362007,2.653507657,2.403293713,2.655024325,2.307679217,2.679457193,4.353602557,2.690587487,2.319091445,2.690414595,2.344884617,2.742615431,2.426611575,8.586592533,3.163290257,8.647887046,2.926245326,2.810021756,2.521367703,2.734159453,2.63084182,2.71828394,3.303324112,2.680037293,2.528697625,3.734729101,2.423170542,2.660619579,2.481006026,2.60578015,2.457015327,2.667308243,2.390581213,2.716081717,2.771044049,2.725104736,4.612890055,2.715898211,8.248716319,2.668180733,9.351159937,2.622396104,7.411728986,2.678010448,7.72323613,4.308039255,8.627128958,3.768256638,3.860246901,2.463281543,2.278470958,2.615685456,2.293817835,2.519089784,2.429575438,2.707130401,2.393507419,2.708635976,4.320370717,2.603372103,3.930508166,2.594938877,2.396549774,2.589731704,2.315979322,2.496368249,2.374153459,2.524845655,2.358169773,2.648817994,2.112949729,2.63045761,2.844168084,2.531608467,2.358125933,2.583232974,2.371087848,2.602563901,2.173956302,2.521479255,2.223181852,2.502379509,2.32963348,2.566379771,2.455753698,2.754498064,2.243938555,2.551457634,2.161434495,2.417636328,2.389545542,2.490874463,2.192060467,2.646588671,2.273245057,2.273245057,4.167536838,11.12080363,3.74266437,7.965693082,2.273288284,2.607460214,2.25280467,2.623903745,2.226757286,2.574431654,2.461774214,2.930845101,4.594317049,10.54636617,4.711130293,2.670026231,2.42845357,2.83412613,2.674985941,2.841194492,4.557201057,2.529571455,2.389200671,2.567842771,2.221546394,2.606839887,2.296294577,2.687327043,2.419509695,2.642060686,2.327260004,2.853999554,2.959610447,2.888825567,2.886423895,2.728730611,2.750968241,2.712497138,2.805748059,2.886083644,3.042939282,3.182215976,3.257315296,2.768292971
AT1G12630,4.144005748,4.062683212,4.082373609,4.239464657,4.094755138,3.933678951,4.011965003,4.003283702,4.073702608,4.211894992,4.055006855,3.924600485,4.003661643,3.956948299,4.054409718,4.002333774,4.062181193,4.449493718,4.273766518,3.968330877,4.61495569,4.181163205,4.11875182,4.037474059,4.066871358,4.152937925,4.240300212,4.179034207,4.304297595,3.982030106,4.156242461,4.065362996,4.023830681,3.872519963,4.129008766,3.90641225,4.129476316,4.265638458,4.288200429,4.030722282,4.008760701,4.123083417,4.396011542,3.809175689,4.532959784,3.947241966,4.1874309,4.147555322,3.974538595,4.082891043,3.940055801,3.998522601,4.06147782,3.93995343,4.07668146,4.083782739,4.09597772,3.824464042,3.991968694,3.773495494,4.055939511,3.965679846,4.040936811,3.990681544,4.188001787,3.905791621,4.484107471,3.806130296,4.137999482,3.834022291,4.131996502,3.8845541,3.950403824,4.061928209,4.01288934,3.899772701,4.206373101,3.812854139,3.98480777,3.866407614,3.914625885,3.990077572,4.209679007,4.050721726,4.014270351,4.053297303,4.178552854,3.592628879,4.152395492,3.986210356,4.25953261,3.86505176,4.073554615,3.760454851,4.377774977,3.860492202,3.945996698,3.695459781,3.654149564,3.925714046,3.922893211,3.894507067,4.053092096,3.853312985,3.853312985,4.00397374,4.023794214,3.851758176,4.112996383,4.092419145,4.04034602,3.51112598,4.009518335,4.238200594,4.065335407,3.909749896,4.053341723,4.002010806,3.974800693,3.939663231,4.119799205,3.855651592,4.115498879,3.797552822,4.132872429,6.765799783,3.948328746,3.727484932,3.949984031,3.756072649,4.244862475,4.087699711,4.163435407,3.998794222,4.085871249,3.820187444,4.140119679,4.86026543,4.683806415,4.455114505,4.503361609,4.300661489,4.687940292,4.345052103,4.14003826,4.112978001,4.216698471,4.136986327,4.326618708
AT1G20910,7.704663682,7.687400888,7.669007298,7.566556721,7.661307059,7.528349797,7.414728758,7.726030421,7.622768721,7.538395431,7.560730069,7.736041678,7.684664566,7.416875072,7.630893188,7.340705496,7.472857135,7.506737669,7.865893374,7.391114842,7.867293735,7.314304176,7.663252654,7.68529421,7.671432971,7.335264496,8.130421462,7.734711275,8.68497537,7.769483531,7.754239737,7.407044215,7.700825172,7.509464071,6.759047227,7.634279142,7.375240544,7.433050779,7.112646359,7.323523362,6.980076233,7.291362731,7.696543027,7.470400029,7.629508762,7.340288914,7.051818165,7.385973726,7.476567034,7.569667664,7.340913403,7.472402533,7.315167066,7.078488829,7.92939001,7.613065509,7.806792608,7.586343667,7.488529689,7.628519145,7.182385462,7.533492632,7.476864174,8.041983322,7.291978799,7.558711359,7.846328615,7.516122281,7.887950146,7.50678409,7.779576018,7.511127799,7.568337993,7.494823978,7.256076604,7.255217976,7.389717134,7.368912549,7.39053364,7.126777971,7.837623287,7.521145608,7.594822003,7.51094725,7.560220079,7.552530317,7.486210652,7.453669852,7.723949567,7.533427742,7.575439612,7.469164478,7.523934392,7.303768395,7.713176314,7.303420725,7.240525374,7.466368825,7.443277977,7.573348696,7.800433364,7.924698589,7.610027023,7.206504797,7.206504797,7.342658431,7.693280515,7.405431683,7.191071709,7.350020428,7.18236707,7.254434796,7.405809133,7.353855261,7.605589813,7.53645673,7.46276476,7.230646627,7.429098359,7.574152722,7.767091501,7.615234089,7.442000043,7.677340319,8.371590168,7.851318635,7.299652969,7.576991583,7.444909396,8.034127995,7.849135169,7.845458299,7.870150667,7.819177959,8.086830615,8.125586754,7.905607934,7.838789414,7.87175379,7.562681635,7.663875791,7.880971842,7.600431636,7.941893059,7.642038011,7.909974397,7.587614357,8.033521477,7.987624927
AT1G21910,10.68226826,7.718177854,11.18243865,8.408347488,6.280318001,7.168733972,7.229641501,7.253651272,5.592943687,6.775951418,5.039263578,7.465239324,5.229941439,7.107729694,10.54681291,8.840461165,8.512469577,6.949243722,9.797664325,8.030458426,9.720731624,8.886185274,10.23119001,10.35758211,5.817452828,10.56288535,4.76317349,8.995050016,4.503764729,8.346887395,10.0992363,8.020217085,6.253792946,6.715510806,5.967082454,6.475339995,4.56131978,6.80318706,4.617391837,7.75675409,5.310915302,7.585855067,7.989205425,7.154575567,5.293670561,7.81080827,5.726648199,9.917446714,5.303714535,11.59870552,5.196014885,9.442263537,8.358759539,10.27728774,7.97888606,9.06211076,7.788063924,7.66166931,6.279862598,6.813048054,5.333552898,6.433249698,4.860398381,6.541304334,5.419399922,6.740255411,10.34125367,9.678676001,10.7808809,8.084233205,5.543887735,7.229373795,5.723239814,6.900317823,4.638723884,7.147017044,5.357186769,7.184894102,7.294269798,7.739524069,11.02887619,8.189650857,5.483982499,7.418464541,6.162993547,6.567415148,5.625603328,6.737611856,4.469233189,7.454481441,6.831377571,7.255618111,9.843840947,7.757769298,10.32044212,7.545866388,6.155003177,6.341114517,5.192236059,6.700885599,4.759757914,7.03395667,6.733985254,6.743649893,6.743649893,8.522338502,9.863560075,8.338196107,7.095327459,7.589731211,6.836344653,7.230381772,5.403115296,7.037737978,6.153330066,6.930332083,8.023870306,7.394272593,11.41161527,8.441537224,6.153855756,7.475799462,8.40543271,7.974920465,9.328704686,7.927752578,7.638864305,6.470394562,4.858801269,6.998388717,5.577065393,7.208482838,8.488445979,7.925487311,7.723270098,7.065829189,8.001944425,7.738018206,6.81070729,7.810535167,7.649575398,7.764300375,8.089751141,8.223836571,9.995426259,9.992091059,8.708966134,9.705296537,8.296064172
AT1G29160,4.983326962,7.790275947,5.091048196,8.223210771,5.30860042,8.166431286,5.213893755,8.587581112,5.961647649,8.319374136,6.789660566,8.762848287,5.201003991,8.510655719,4.730143353,8.311118108,5.028392389,8.539651538,4.864401709,8.305676059,4.962211383,8.126030673,4.421389546,7.887810327,4.526423095,7.731045022,4.538282124,7.919073663,4.885949504,7.625701751,4.704063641,8.442294806,4.909517796,8.260802673,4.812687135,8.790314882,4.638751327,9.146276215,5.340001966,9.40507975,4.579459732,9.051589244,5.530097207,8.481076661,5.121652633,8.506346915,4.782540679,9.035734375,5.030998114,8.818163376,6.162413422,8.890123289,5.107324597,8.373430227,4.995873029,8.098014405,5.326219937,8.449189275,5.389320162,8.608811193,5.743309745,8.90299639,6.817262378,8.596964388,4.892134544,8.234412006,5.083125983,7.952184158,4.911554302,8.456238838,4.983831392,8.743967013,4.826132796,8.302401277,5.054605174,8.981311882,6.576330637,9.101968031,4.989805851,9.103897098,5.540668278,8.395214315,5.091957718,8.503579858,5.103307647,8.244123742,5.627507875,8.554833986,6.266505322,9.008715376,5.099297221,8.761522577,4.582762028,8.068457235,4.86340405,8.229724409,5.203158136,8.402989342,5.905159273,8.494632078,6.667365024,8.815482633,4.775791155,8.106413875,8.106413875,8.200867263,4.85592136,8.2643239,5.205115393,8.494942382,5.281898262,8.640428395,5.886707097,8.729163572,6.71595012,8.913370113,4.928318597,8.617347351,4.588172382,7.806767389,5.083519571,8.29748641,4.932688591,7.358145611,5.12704771,5.041161953,5.842895641,8.564534376,6.680396026,8.688622746,4.901043754,8.109787867,4.960444133,8.146044753,4.839746499,8.909817489,5.982614809,6.223159684,6.044146513,6.278426412,6.107352571,5.958904011,6.279195018,6.47531149,5.704108706,5.459491763,5.380008063,6.515434934,7.013452782
AT1G35560,7.447013815,4.838548954,7.235634724,5.391113245,7.073120868,5.223939939,6.416312279,5.558045231,5.336224635,5.110072305,6.425116643,5.445646955,7.384992747,5.518706825,7.143816245,5.469719654,5.951059017,4.998858892,8.286859849,5.450970762,7.779812446,5.474576106,7.786441066,5.827765463,7.653703613,6.047123565,6.750836339,5.543384967,5.838578759,5.018679063,7.072585948,5.015434147,6.906399913,4.789615809,6.401635907,4.86501325,5.543360389,4.924543381,5.47113621,4.916282241,5.814870875,5.659461461,7.11466684,5.391963137,7.162473566,5.751855918,6.063282711,5.770935939,5.508682926,5.538008168,5.696859117,5.103860943,6.959565318,5.398100574,7.773773061,5.837366012,7.405842815,5.815344555,7.64891513,5.480073249,5.720057762,5.378591239,7.213566476,5.3887047,7.559568292,5.408200234,7.816881007,5.494975862,7.206359644,5.670014951,7.528396228,5.497894764,7.377144844,5.22454781,5.766047015,4.78401603,7.250894273,4.537930248,7.729907383,5.06892746,7.140719807,5.906802638,7.319947268,5.632436831,7.596063715,5.430358446,6.109478559,5.122776013,7.357841645,5.294780399,8.642108374,5.72280916,7.576956404,5.529282072,6.960139878,5.486326169,6.403029664,4.767343904,5.912547374,4.824778766,7.175897557,5.360164341,7.577249358,5.512840103,5.512840103,5.399272167,6.854452238,5.731647327,6.632004832,5.656010308,6.347874673,5.24181688,5.33741055,5.229043898,6.859620606,5.922051865,7.407722124,5.8397854,7.284864721,5.963506043,7.280996354,5.284120665,6.945116443,4.869903533,5.643307816,7.130593158,5.261300868,4.891009226,7.00546016,4.990785205,7.292355608,5.317522792,7.635618818,5.457986714,6.400848261,5.005524606,4.490961797,4.693214201,4.962571166,4.959092475,5.173888382,5.448399793,4.758476331,4.611483582,4.527506504,4.622533884,4.756029162,4.848847401,4.521241205
