AGID,A_17,A_22,A_23,A_24,A_25,A_26,A_27,A_28,A_29,A_30,A_31,A_32,A_21,A_34,A_35,A_33,B_1.1,B_3.4,B_4.4,B_5.4,B_6.4,B_7.4,B_2.1,B_3.1,B_4.1,B_5.1,B_6.1,B_7.1,B_1.4,B_2.4,C.6,C_Pi.6,C_Pi.12,C_Pi.24,C.12,C.24,
AT1G15580,6.581113454,5.725131264,4.939936766,5.938968368,4.852114194,4.300812283,6.503835087,4.032468544,4.479960467,6.894801968,4.40954358,4.396279254,6.164701385,4.645630372,5.293116307,6.363549225,11.32464784,6.998353295,6.234228633,6.630783825,7.14955127,6.807505469,7.595265142,8.089189185,7.428877418,7.468140152,7.498270473,8.041709822,6.202023743,7.087497583,5.022463196,5.582676766,5.00646256,5.12770757,4.440207826,4.107998774,
AT1G50640,7.665142858,9.911256218,10.04350827,8.721312492,9.235029817,8.356640786,8.364293345,8.22059989,8.056813817,9.172544819,8.400895891,7.743213373,9.091301613,8.636204802,7.730492824,8.636653863,13.25829068,7.964190308,8.330290862,7.865548839,7.637593364,7.493577809,8.27233181,8.895869977,9.350870989,9.146541907,9.099515839,8.858541067,7.540362527,7.831492549,7.641005555,7.67768152,7.743827415,7.695591752,8.074405649,7.94942329,
AT1G02340,3.236419531,2.819332502,4.992891354,3.26280194,3.168367234,3.158358059,3.631383983,2.5019406,2.643467331,3.492078638,2.729828154,2.780867481,3.393987712,3.125209494,3.826107507,2.824394396,6.070181177,3.410186543,3.185688604,3.101663807,3.556015231,2.557676142,3.133586592,4.374109679,4.252770912,4.231183149,3.94032664,4.517078716,3.353125831,4.596432862,3.769608401,2.703394608,2.318418444,2.506440032,2.222892655,2.59787028,
AT1G05805,8.100137583,7.580038479,7.818352802,8.288177167,8.075880214,7.796896286,8.569188725,7.967763803,8.445195678,8.567580228,8.053740571,8.392935789,8.518589574,7.542258366,8.237858427,8.703796722,12.5750851,7.728380008,8.181358957,7.860991716,7.866398769,7.62462151,8.589532773,8.660072479,8.831560453,8.438673712,8.852470357,8.637199115,7.575590029,7.71370151,8.940680391,8.526363219,7.80650538,7.110068344,7.872513831,6.897325376,
AT1G12610,3.527426764,2.398581729,2.486547618,3.078053915,2.456176412,2.387825026,2.884063245,2.415939884,2.408140142,3.551191058,2.452962152,2.431850091,3.584509221,2.411572307,2.548750807,4.46933481,9.898716398,2.398288573,3.676864278,2.470844389,2.440586048,2.410532092,5.952291626,6.661463603,6.723083901,6.314583085,6.844326954,6.337094171,2.460206273,2.394866439,2.481056342,2.521433232,2.39139903,2.43642853,2.314405374,2.354545614,
AT1G12630,3.904975272,3.817113886,3.815120837,3.810551035,3.662757107,3.698035165,3.84034602,3.803371909,3.788958769,3.819244085,3.711214843,3.708300906,3.765433276,3.717113603,3.881348782,3.867845923,6.156832217,3.837596695,3.854284189,3.814612331,3.93139865,3.853284883,3.899431813,3.888672314,3.905555136,3.876430405,3.966517187,4.039737309,3.888486823,3.835318547,4.084632701,4.375740034,3.910434856,3.95705186,4.044304425,4.108175856,
AT1G20910,5.981854657,6.693207895,6.119435314,5.556372303,6.074118809,6.534734583,5.6399578,5.930216563,5.943417111,5.512863579,5.748871617,5.822038279,5.236574378,5.858047917,6.029856003,5.502244677,8.801141593,6.300730481,5.848414244,6.0060123,6.129257666,6.395811576,5.586480363,5.559784449,5.474955673,5.708055234,5.619535939,5.440265757,6.665046409,6.127932927,5.950474685,5.82829472,5.964563956,6.254620553,5.81201234,6.457190344,
AT1G21910,6.134559331,5.645658186,4.782755545,7.349823988,5.356677459,6.896538362,8.299264444,7.169006496,5.229193702,6.338561799,6.334152774,6.657487474,6.011465352,6.931026656,5.656303846,8.396110395,14.84109695,5.822893726,6.849287916,4.492143749,4.98983697,4.913583493,9.60483743,10.62482919,8.963369632,8.945887629,9.395315836,9.087136307,5.345621315,5.680410622,8.214498351,8.565656151,6.048370182,5.757834815,5.543768811,8.448627735,
AT1G29160,3.929580026,5.612379205,4.559221835,4.061984975,4.518240272,4.850695762,3.883098333,5.484128775,3.70899753,3.866413756,4.108226204,3.966932724,4.001114466,4.699761375,3.541206711,3.805740594,6.097877431,4.400876896,4.665908247,4.268993377,4.556473659,4.245464862,3.916028277,4.011407855,3.594198328,3.953730297,3.838015958,3.997379036,4.371023219,4.339943257,3.89028701,4.247571668,5.727679844,5.681023651,5.74975126,6.770936352,
AT1G35560,6.108349978,5.458201532,6.283220228,5.604629653,5.562745877,6.803459896,5.801758566,5.721970284,7.180242169,5.600213613,5.320663618,7.075640546,5.831147282,5.7336305,7.439321254,6.044286839,9.758208666,6.765676194,5.863010097,5.974093713,5.654363467,6.707276504,6.64715925,6.465275059,6.229266382,6.249428887,6.594581049,6.502711036,6.425480169,6.664472285,6.802598127,6.068740066,7.440141613,7.891790101,6.240724282,6.956736653,
