AGID,mock 3h (F1),mock 3h (F1),CHX 3h (F1),CHX 3h (F1),MG132 3h (F1),MG132 3h (F1),mock 12h (F2),mock 12h (F2),PNO8 1uM3h (F1),PNO8 1uM3h (F1),PNO8 1uM12h (F2),PNO8 1uM12h (F2),mockBrz 3h (G),mockBrz 3h (G),PNO8 10uM3h (G),PNO8 10uM3h (G),Ibup 3h (F1),Ibup 3h (F1),B9 3h (F1),B9 3h (F1),Sal 3h (F1),Sal 3h (F1),mock 3h (F1),mock 3h (F1),mock 12h (F2),mock 12h (F2),Brz220 10uM3h (F1),Brz220 10uM3h (F1),Brz220 10uM12h (F2),Brz220 10uM12h (F2),Brz91 3h (F1),Brz91 3h (F1),Brz91 12h (F2),Brz91 12h (F2),mockBrz 3h (G),mockBrz 3h (G),Brz220 3uM3h (G),Brz220 3uM3h (G),mock 3h (F1),mock 3h (F1),AgNO3 3h (F1),AgNO3 3h (F1),AVG 3h (F1),AVG 3h (F1),mock 3h (F1),mock 3h (F1),mock 12h (F2),mock 12h (F2),PPI 3h (F1),PPI 3h (F1),PPI 12h (F2),PPI 12h (F2),Unic 3h (F1),Unic 3h (F1),Unic 12h (F2),Unic 12h (F2),Pac 3h (F1),Pac 3h (F1),Pac 12h (F2),Pac 12h (F2),PX 3h (F1),PX 3h (F1),PX 12h (F2),PX 12h (F2),Cont (C1),Cont (C1),Cont (C1),Zeatin20uM (C1),Zeatin20uM (C1),Zeatin20uM (C1),ARR22-ox (C2),ARR22-ox (C2),ARR22-ox (C2),ARR22-ox+Zeatin20uM (C2),ARR22-ox+Zeatin20uM (C2),ARR22-ox+Zeatin20uM (C2),mock 3h (F1),mock 3h (F1),246T 3h (F1),246T 3h (F1),PCIB 3h (F1),PCIB 3h (F1),TIBA 3h (F1),TIBA 3h (F1),NPA 3h (F1),NPA 3h (F1),mock 30m (A1),mock 30m (A1),IAA 30m (A1),IAA 30m (A1),Zeatin 30m (A1),Zeatin 30m (A1),GA 30m (A1),GA 30m (A1),ABA 30m (A1),ABA 30m (A1),MJ 30m (A1),MJ 30m (A1),ACC 30m (A1),ACC 30m (A1),BL 30m (A1),BL 30m (A1),mock 1h (A2),mock 1h (A2),IAA 1h (A2),IAA 1h (A2),Zeatin 1h (A2),Zeatin 1h (A2),GA 1h (A2),GA 1h (A2),ABA 1h (A2),ABA 1h (A2),MJ 1h (A2),MJ 1h (A2),ACC 1h (A2),ACC 1h (A2),BL 1h (A2),BL 1h (A2),mock 3h (A3),mock 3h (A3),IAA 3h (A3),IAA 3h (A3),Zeatin 3h (A3),Zeatin 3h (A3),GA 3h (A3),GA 3h (A3),ABA 3h (A3),ABA 3h (A3),MJ 3h (A3),MJ 3h (A3),ACC 3h (A3),ACC 3h (A3),BL 3h (A3),BL 3h (A3),ga1mock 30m (A4),ga1mock 30m (A4),ga1+GA 30m (A4),ga1+GA 30m (A4),ga1mock 1h (A5),ga1mock 1h (A5),ga1+GA 1h (A5),ga1+GA 1h (A5),ga1mock 3h (A6),ga1mock 3h (A6),ga1+GA 3h (A6),ga1+GA 3h (A6),det2mock 30m (A7),det2mock 30m (A7),det2+BL 30m (A7),det2+BL 30m (A7),det2mock 1h (A8),det2mock 1h (A8),det2+BL 1h (A8),det2+BL 1h (A8),det2mock 3h (A9),det2mock 3h (A9),det2+BL 3h (A9),det2+BL 3h (A9),mock 3h (B),mock 3h (B),CN 3h (B),CN 3h (B),6DCT 3h (B),6DCT 3h (B),CT 3h (B),CT 3h (B),6DTE 3h (B),6DTE 3h (B),TE 3h (B),TE 3h (B),6D3DT 3h (B),6D3DT 3h (B),3DT 3h (B),3DT 3h (B),6DTY 3h (B),6DTY 3h (B),TY 3h (B),TY 3h (B),6DCS 3h (B),6DCS 3h (B),CS 3h (B),CS 3h (B),BL 3h (B),BL 3h (B)
AT1G15580,279.5,100.4,5963.7,3424.4,239,161.2,186,268.6,134.8,164.2,178.7,354.7,99.4,56.5,17.7,37.2,155.2,71.4,303.9,219.2,103.5,351.9,279.5,100.4,186,268.6,230,87.3,110.1,37.9,190.5,200.1,178.5,302.7,99.4,56.5,10.1,81.5,279.5,100.4,361.9,15.3,25.6,132.3,279.5,100.4,186,268.6,271.1,119.7,48.8,255.1,213.8,50.7,175.3,164.1,26.8,106.7,77.5,395.8,45.2,180.2,24.1,337.8,33.9,29.8,59.8,63.1,71.1,77.3,5.3,25.8,5.3,6.7,28.1,4.1,279.5,100.4,318.5,106.8,160.3,93.9,171.5,35.8,26.4,144,65.6,104.6,3239.4,1950.4,78.6,140.9,104.6,9.6,221.3,120.4,308.3,75.2,37.4,22.8,311.8,246.4,50.7,44.4,5211.7,3856.3,224.2,340.9,102.1,78.6,183.7,16.6,265.5,104.9,150.2,122.4,228.3,296.8,44.5,84.2,3880.6,2401.8,251.3,101.9,82.7,35.4,26.5,129.9,162.1,34.6,52.7,13,193.1,101,119.5,61,129.7,47.1,50.5,86.1,394.4,88.6,36.5,43.6,46.7,44.2,55.8,54.5,104.1,52.7,21.8,22.1,198.5,378.5,326.1,53.3,372.3,112,265.4,162.6,255,29,380.6,183.6,502.8,382.6,223.7,554.9,257,469.6,268.9,544,357.6,156.4,213.5,361.8,495.4,270,516.7,510.9,539.6,594.4,544.7,491.9
AT1G50640,1914.1,1169.1,3586.5,3010.9,1115.2,1078.7,648.7,1323.1,1645.5,1437.8,884.1,1185.8,1098.1,1325.7,1365.6,1110,1043.4,828.5,1162.7,988.4,1229.2,1253.3,1914.1,1169.1,648.7,1323.1,1340.5,1278.8,1222.6,1488.1,1578.8,1283.7,1134.8,1620.3,1098.1,1325.7,1212,1026.6,1914.1,1169.1,2405.6,1682.6,1231.4,1112.7,1914.1,1169.1,648.7,1323.1,1443.8,1025.7,1027.7,1503.5,1533,1068.4,1107.4,1353.1,1627.2,1378.1,873,1560.5,1766.9,864.6,893.2,1392.7,195.5,297.9,669,199.4,264.1,198.2,210.3,319.4,420.8,306.5,309.8,253.6,1914.1,1169.1,1136.8,1163.6,1327.5,1281.2,1858.4,1524.3,1221.3,1235.6,662.3,481.4,797.6,554.9,798.5,625.7,785.6,501.3,733.5,561.3,768.3,498.3,952.7,683.8,787.7,550.2,934.9,671.4,855.2,613.8,718.1,565.3,907.2,534.1,1145.7,936.1,1230.9,472.9,871.6,500.8,791.9,501.4,993.6,447.6,818,473.3,667.9,474.8,690.1,602.1,1293.9,910.7,1202.3,815.2,738.8,761.7,689.1,760.1,1753.2,1378.9,1916.4,1367.8,1038.9,1797,1180.5,1805.2,1553.5,1707.7,1500,1472.1,1687.3,1387.9,1717.7,1578.6,1345.1,1616.3,1461.8,1225,1408.3,1166.2,1560.4,1565.4,1683.1,1811.3,1609,1626,2065.4,1823,1528.3,1771,1280.8,1282.3,1584.2,1947,1622.3,1828.3,1789.2,1528.7,1696.4,1791.6,1387,1557.3,1629.5,1936.9,1759.4,1812,1604.7,1804.3
AT1G02340,275.2,182.2,213.2,111.5,81.5,157.9,185.9,224.7,71.1,161.3,154.4,345.5,405,145,98.3,205,178.2,159,161.1,165.1,133,72.4,275.2,182.2,185.9,224.7,254.3,211.9,77.6,238,111.2,205.5,204.3,194.3,405,145,343.4,431.3,275.2,182.2,12.3,66.4,240.3,238.7,275.2,182.2,185.9,224.7,239.5,142.4,124.4,213.2,149.2,162.7,265.7,101.4,258.6,170.9,193.3,347,311.1,88.9,78.7,173,92,100.6,134.8,46.2,47.4,43,71.6,105.6,250.5,37,60.7,33.4,275.2,182.2,108.1,266.7,274.2,189.3,134.2,180.8,186.3,136.8,109,114.1,115,27,60.1,105.7,85.5,57.9,286.9,188.9,142.1,45.7,222,83.6,134.6,88.4,51,130.7,134.2,95.5,67.8,15.6,180.5,111.6,346.2,319.1,52.4,92.2,119.9,103.5,252.9,129.9,247.5,57,66.4,184.7,66.3,42.9,140.4,153.4,470.2,167.6,33.8,6.1,210.5,87.2,72.6,58,127.8,198,294.9,97.3,35.1,338.9,154.8,70.1,205.5,240.4,113.8,366.4,282.4,292.3,356.5,388.6,205.6,253.2,21.2,181.5,535.1,445.6,344.7,431.3,459.7,293.1,303.5,444.5,396.3,505.5,447.1,380.2,201.1,260.8,403.8,408.8,382.3,302.3,479,412.2,279.1,318.4,573.3,385.3,520.6,226.3,456.5,434.2,379.5,508.5
AT1G05805,1010.3,655,1229.2,912.6,968.9,728.4,695.2,1046.6,925.9,678.9,972.4,1307.8,1566.8,1381.8,1311.3,1056.3,1081.2,721.2,1183.9,770,1001.6,755.7,1010.3,655,695.2,1046.6,998.4,708.4,757.6,1359.5,927.5,731.5,973.9,1081.8,1566.8,1381.8,1191.1,1357.5,1010.3,655,1491.6,899.2,1207.8,921.5,1010.3,655,695.2,1046.6,1085.2,768.1,846.8,885.5,1024.9,432.1,1099.3,980.2,1023.9,803.4,912.6,1142.7,1174.1,799.1,751.3,1047.4,287.6,339,760.4,201.4,203.5,222.9,157.2,191.9,301.6,256.4,253.9,213.5,1010.3,655,1261.5,753.1,1320,731.7,717.6,679.9,977,543.7,847.2,630.7,693.4,621.1,932.7,807.7,1188.5,618.6,531.5,698,885.5,725.4,811.1,622.7,803.4,737.3,758.2,475.6,587.7,419.9,868.1,662.1,887,664.8,472,629.3,986.2,691.4,673,464.5,880.2,952.9,740.9,553.7,711.4,748.2,660.2,519.1,938.7,754.1,391.7,488.8,568.4,813.7,528.1,472.2,793.4,577.2,1355.3,740.6,1100.7,969.9,1026,1392.4,1462.3,1905.1,1058.8,753,1394.3,1416.3,1724.4,1277.3,1641.3,1407.8,1203.6,1342.6,1239.3,1324.9,1227.7,884.2,1106.6,1114.5,1635.9,1343.1,1472.6,1478.3,1240,2044.1,1723.5,1549,1047.1,1434.7,1532.8,1929.5,1310.5,1727.7,1685.2,1716.2,1484.3,1614.2,1537,1249.8,2047.4,1268.1,1451.9,1443.7,1190.1,1654.9
AT1G12610,13.3,32.9,28.7,180.7,43.9,18.5,9.2,100.2,8.6,20.9,21.5,13.3,30.9,24.4,20.7,240.1,19.6,20.7,5.2,131.5,8.5,148.1,13.3,32.9,9.2,100.2,15.4,37.8,2.8,23.5,14.2,64.7,8.6,22.8,30.9,24.4,13.8,19.1,13.3,32.9,16.3,102.8,20,5.3,13.3,32.9,9.2,100.2,12,14.2,30.6,24.3,16.2,20.3,15.1,12.4,12.5,17.4,3.7,15,36.5,6.2,129.9,21.4,3.6,17.9,16.1,3,1.3,1.3,0.9,3,8.4,5.5,10.2,3.9,13.3,32.9,37.4,16.8,13.4,20,22.4,15.3,65.8,83.5,11.3,4.7,21.8,5.3,17.6,19.6,20.3,36.4,92.1,61.4,132.2,104.3,31.5,9.2,26.9,48.1,17.8,21.2,21,18,149,13.2,20.1,13.9,75.7,13.3,22.8,118.9,10.9,8.7,29.7,57.5,14.4,111.3,50.2,49.1,28.7,70.7,25.6,25.6,18,34.8,57.5,5.7,73.4,21.6,94.8,89.7,291.3,206.6,244.2,44.5,30.5,128.6,181.5,358.7,61.5,78.7,54.8,116.5,53.1,159.7,193.7,361.8,34.4,47.7,38.3,172.3,38.4,29.7,27.9,57.3,10.2,17.8,29.8,11.9,9.2,24.3,28.1,48,20,58,98.3,26.4,28.9,19.8,21,26,102.1,66.2,20.5,26.7,27.6,49.9,27.5,119.7,34.5,38
AT1G12630,108.5,248.8,212.3,275.7,76.1,223.9,157.4,160.3,112.3,253.3,79.8,141,104,81,191.3,528.1,214.3,79.7,267.5,56.6,323.9,251.4,108.5,248.8,157.4,160.3,300,126.8,102.2,68,132.7,169.5,101.1,54.6,104,81,291.7,112.8,108.5,248.8,293.6,239.6,330,182.9,108.5,248.8,157.4,160.3,54.9,248,39.9,43.3,74.4,153.2,48.5,280.1,57,298.7,202.9,185.7,341.2,362.4,110.7,106.1,30.9,44.7,109.9,41.1,16.8,61.4,36.7,50.2,20.7,60,59.8,62.8,108.5,248.8,239,226.5,61.6,131,333.1,165.1,295.4,265,283.9,71,245.9,276.9,369.1,66.9,137,159.8,166.6,302.7,117.9,140.2,497.9,90.3,190.2,195.7,228.1,204.7,327.6,116.3,166.9,54.2,66.3,209.1,314,57.9,312.7,148.8,218.5,99.4,107.8,195.6,334.8,99.8,120.8,127.3,163.7,101.2,100.3,111.2,83.2,244.9,109.3,245,105.5,89.2,111.9,143,1161.3,258.1,1045,680.5,833.2,750,353.2,460.4,1276.8,683.9,508,634.2,325.3,350.9,267.5,267.4,642.6,526.6,526,143.6,201.1,436.7,314.5,210.5,365,193,330.9,182.4,399,91.1,456,329.4,238.8,292.6,281.2,202.3,420.3,481.8,352.2,99.7,249.2,211,384.8,167.1,462.7,204.8,300.1,223.5,222.4,325.3
AT1G20910,656.4,403,572.5,655.7,890.4,682.5,522.3,593.8,592.5,523.6,497.7,640.4,638.3,455.2,358.4,284.2,663.5,454.2,466.8,389.4,415.4,508.7,656.4,403,522.3,593.8,957.4,676,516.8,546.4,750.8,484.6,509.1,594.8,638.3,455.2,461.8,726.7,656.4,403,540.6,339.3,475.5,717.6,656.4,403,522.3,593.8,584.4,701.6,286,755,722.4,802.1,407,427.8,549.1,812.9,433,816.6,433.7,381.3,390,532.3,75.5,141.3,187.8,162.7,195.2,167,86.7,109.7,233.7,179.3,113,109.1,656.4,403,641.1,523.6,550.2,491.9,599.8,522.2,553.3,684.6,453,432.9,661.3,465.7,489.2,446.3,520.4,449.9,514.2,529.1,543.3,279.6,568.2,458,427.5,361.8,326.3,327.8,768.9,400.7,542.7,430.3,682.5,265.9,515.4,308.8,633.9,290.4,448.6,573.9,750.9,313.5,463.2,339.9,536.5,368,342.5,381.8,515,442,354.4,347.1,375.8,310.2,625.7,399.2,444.6,376.7,1481.8,1625.7,1229.8,1289.6,1157.9,1847.2,869,2029.4,1198.3,1376.5,1538.9,1128.8,781.9,1318.6,1171.7,1802.6,974.7,978.1,517.4,1131.9,1475.7,1105.5,1254.2,1215.5,1077.5,843.7,907.4,1042.4,827.4,1205.4,943.7,1148.1,845.6,1284.4,779.5,1400.4,608.6,663.8,713.3,922,1197.5,1042.3,703.4,824.8,777.7,1349.7,594.9,907.2,690.9,856.3
AT1G21910,2898.8,2108.3,8802.6,8912.1,2867,2131.7,2429.3,3122.2,2349.1,1983.2,2289.6,2209.6,2486.1,1984.3,1365.6,1263.2,1679.8,1942.4,2402,2698.2,1682,1275.4,2898.8,2108.3,2429.3,3122.2,2073.9,1656.5,1939.4,2784.4,2030.6,1861.4,1607.2,2827,2486.1,1984.3,1700.8,1723.5,2898.8,2108.3,783.5,728.4,1869.6,1650.6,2898.8,2108.3,2429.3,3122.2,2278.2,1620.2,1802,2382.4,2329.8,1545,1515.8,2962.2,2308.4,1506.7,2078.6,2393,2197.2,1480.9,1539,1822.5,991.6,1207.7,2774.3,551.5,513.3,587.7,172.5,213.1,677.3,606.3,659.7,549.3,2898.8,2108.3,2313.5,1937.8,2238.4,1679.3,1440.5,1370,1662.9,1492.3,3184.8,1791,3192.5,1936.4,2597.8,1827.5,1552.6,1276.1,1872.5,1471.5,1104.4,792.5,3034.2,2304.5,3396.6,1859,1591.9,1103.9,3241.1,2087,2372.8,1492.1,1034.7,805.7,1028.7,1033.1,669.1,452.3,2506.7,2947.6,3029.7,2549.9,2433.5,1296.6,2549.5,1921.8,2505.3,1592.6,1428.6,1070.2,761.8,341.7,573.2,290.5,3340.8,2454.3,4044.1,3240.8,3617.2,2139.2,1677.7,1618.4,2257.7,3421.5,1352.7,2200.6,3193.9,1970.1,2098.6,1776,6420.5,5187.8,5434.7,5053.9,2867.7,2964.2,6738.4,6543.8,4340.2,4831.5,10230.5,8111.3,3548.3,2773.4,3640.4,4046.7,4217,4546.6,4525.1,5279.7,4423.8,5541.6,6756.5,9053.8,6388.7,8144.6,8947.2,8604.3,5779.3,4879.7,6610.7,7381.7,9581,5974,9363.2,8849.5,8307.9,8906
AT1G29160,507,327.6,299.1,319.3,453.9,379.8,269.8,434.4,285.3,326.6,317.7,453.1,716.8,671.7,197.4,585.5,471.2,340.6,416.7,418.4,761.8,466.5,507,327.6,269.8,434.4,413.8,325.5,314.1,369.3,404.2,443,290.4,276.7,716.8,671.7,721.2,658.4,507,327.6,323.2,277.5,510.1,297.6,507,327.6,269.8,434.4,302.5,464,326.8,437.7,441.7,309.7,324.7,713.6,485,424.4,344.7,338.1,451.4,311.5,356.2,331.1,64.7,69.6,132.1,93.6,97.8,82.2,103,129.9,456.2,156.2,163.5,173.6,507,327.6,379.1,281.6,399.6,399.5,502.7,319.9,453.9,263.3,485.4,263.7,575.1,279.3,515.3,265.1,729.8,347,551.1,535.7,436.4,475.1,539.5,441.1,654.3,676.7,481.5,284.9,237.1,223.4,483.5,334.7,540.7,312.9,438.8,221.1,765.6,408.8,639.1,408.8,788,432.8,424.7,463.6,497.7,500.5,403.3,330.7,523.3,601.6,422.2,145.7,575.6,297.2,599.7,389.7,647.9,453.7,1476.5,956.4,2150.6,1220.8,932.4,2105.4,961.5,1746.9,1028.6,1493.3,1206.8,1664,1246.7,1514.4,1445.7,1247.9,730.2,1094.3,648.3,963.2,1363.3,899,1461.5,1091.4,736.9,532.8,665.3,559.7,549,908.4,678.6,797.9,699.2,576.9,711.1,524,754.3,350.9,596.7,743.7,821.1,534.8,766.8,708.6,812.5,597.1,871.1,710.8,782.4,617.1
AT1G35560,751.7,517.1,1023.1,651.5,859,549.9,376.5,646.5,682.2,524.3,439.5,376.8,705.2,593.6,341.9,219.1,908,761.6,924.2,888,570.2,526.7,751.7,517.1,376.5,646.5,774,801.4,454.7,601.5,538.7,701.8,533,736.7,705.2,593.6,763.2,572.4,751.7,517.1,841.6,600.7,819.9,954.4,751.7,517.1,376.5,646.5,700.6,722.9,535.7,638.2,964.1,1086.2,502.2,964.3,816,596.2,442.3,800.2,613.7,541.4,688.6,582.4,45.7,129.5,164.7,93.2,127.1,94.7,130,179.4,380.9,114.8,101.8,72.7,751.7,517.1,957.2,691.5,814.8,808.2,748.3,372.2,637.6,665.1,488.9,427.8,583.7,518.4,632.7,352.4,443.2,368.1,871.5,452.9,607.5,358.6,366.7,259.3,462.4,306.7,688.7,451.8,609.4,562.8,453.7,399.3,495.3,401.9,855.1,486.4,603.2,408.8,555.5,466.6,405,236,657.1,376.8,592.8,444.4,406.6,426.7,470,405.8,333.1,192.2,906.1,724,362.1,339.8,379.1,484.1,562.3,433.7,695.3,352.7,586.4,801.4,492.8,709.1,804.6,555.7,423.2,300.3,1047.3,1329.5,1319.1,809.9,879.8,1191.4,1033.1,1097.4,1447.4,1583.3,1816.3,1426.6,755.1,1162.4,647.9,910.1,472.7,911.4,481.1,756.7,699,1219.2,629.5,902.5,824.8,1116.9,766.7,923.2,640.5,1357.4,638,1151.9,695.7,1321.3,617.5,974.8,992.7,1027.7
