AGID,FS,PS,RS,BS,AS,US,WS,DL,FL,PL,RL,BL,AL,UL,WL,DS
AT1G15580,3.673202661,3.535672932,3.558478176,3.243014562,3.365754529,7.079922124,3.078904349,5.178859103,3.978391327,4.834262625,3.376482911,2.747246127,3.701429706,4.128696115,3.476048581,3.401502607
AT1G50640,8.368060573,8.329506761,8.34491118,8.37251929,8.450511761,8.667591524,8.155916246,12.47584812,12.22251083,8.178334459,8.126391691,8.265591787,8.281123806,8.39101853,8.108495695,8.409392072
AT1G02340,11.42544602,11.19677222,11.26275084,11.25516261,11.48772196,10.89933746,11.24712229,17.05793407,17.35073326,11.05886113,10.96344459,11.36757577,11.09028243,10.62034028,11.28933116,11.21753411
AT1G05805,7.740187947,7.403399675,7.690672119,7.440759993,7.232599799,6.818163568,7.481798719,11.12204288,8.871686424,7.22758501,6.970651075,6.447722504,7.036248463,6.19209997,7.066804458,7.441473432
AT1G12610,2.372266256,2.41123031,2.376732596,2.428698564,2.397316402,2.366429052,2.389528711,3.540143041,3.498123354,2.342074439,2.364072041,2.329520685,2.340307086,2.336867767,2.346468681,2.393052301
AT1G12630,2.48320815,2.506119823,2.48711241,2.62499139,2.496713362,2.492447884,2.556519295,3.722906192,3.678163128,2.464770526,2.470669238,2.450935979,2.465447265,2.459857444,2.465509954,2.491561792
AT1G20910,3.218153353,3.257896915,3.244127523,3.26848435,3.253753875,3.158967038,3.242472114,4.846684072,4.820724303,3.213681666,3.234473316,3.298636981,3.220347786,3.21461747,3.236427623,3.254474331
AT1G21910,9.462145531,8.991345728,9.090618543,8.966862802,9.413516222,9.307573321,9.168789679,13.7838011,11.78756713,8.952018753,8.307573867,7.877241473,8.796763442,8.487897549,8.229049738,9.316915417
AT1G29160,7.607430219,7.398153977,7.489763873,7.355137605,7.528994688,7.079527649,7.665960958,11.51186651,10.69033056,7.348032292,7.224446975,7.054224666,7.226751976,6.52473722,7.000115005,7.840348586
AT1G35560,2.237489367,2.268218362,2.243275485,2.27684932,2.254027317,2.231812192,2.243984901,3.339088104,3.313064182,2.215587537,2.227490428,2.195496319,2.210904188,2.208460756,2.212934117,2.252540855
AT1G47870,3.863491653,3.817568146,3.927114937,3.816921218,3.84625748,3.981533019,3.799318568,6.1457792,5.708003778,3.758362899,3.94636237,3.802467891,3.804436427,4.01562048,4.02973776,3.855189756
AT1G54830,7.837049671,7.913598151,7.865372687,7.882194469,7.87773998,7.817240272,7.912745296,11.81729812,11.83532878,7.818943687,7.887407199,7.835986892,7.860167316,7.845349208,8.030382513,7.785791602
AT1G61730,10.15245981,10.1799505,10.18330925,10.19948679,9.952372752,10.07198913,10.15669777,15.4193496,15.63301327,10.35907677,10.19554122,10.32637043,10.52496486,10.82844603,10.3421883,10.17247415
