id,combined_cluster,Cluster,Kmeans_38_RootCellTypes,Kmeans_38_AtGen,Kmeans_38_AtGen_Abiotic,Kmeans_38_AtGen_Dev,Kmeans_38_AtGen_Biotic,Kmeans_38_AtGen_Hormone,Kmeans_38_AtGen_Light
AT1G15580,1_1,1,5,17,30,37,3,3,27
AT1G50640,1_1,1,36,7,23,34,14,14,32
AT1G02340,2_1,2,15,22,29,16,20,20,28
AT1G05805,2_1,2,31,2,1,11,6,6,13
AT1G12610,2_1,2,8,20,28,30,38,38,9
AT1G12630,2_1,2,4,14,9,29,26,26,9
AT1G20910,2_1,2,31,6,31,4,33,33,31
AT1G21910,2_1,2,13,3,27,5,9,9,5
AT1G29160,2_1,2,23,11,35,15,26,26,20
AT1G35560,2_1,2,4,6,36,1,37,37,9
AT1G47870,2_1,2,31,6,4,18,12,12,27
AT1G54830,2_1,2,10,15,33,14,21,21,10
AT1G61730,2_1,2,38,3,38,6,28,28,19
AT1G68920,2_1,2,29,21,12,12,37,37,34
AT1G69310,2_1,2,4,4,12,13,33,33,6
AT1G78600,2_1,2,3,7,6,25,32,32,14
AT2G13960,2_1,2,15,13,12,1,31,31,27
AT2G21230,2_1,2,31,10,23,34,21,21,20
AT2G22430,2_1,2,32,3,38,31,28,28,3
AT2G24570,2_1,2,19,16,37,17,11,11,25
AT2G28810,2_1,2,6,15,1,17,2,2,1
AT2G40950,2_1,2,26,7,4,18,22,22,24
AT2G44730,2_1,2,4,18,31,18,27,27,10
AT2G47260,2_1,2,8,9,37,1,31,31,31
AT3G10500,2_1,2,38,19,3,2,7,7,21
AT3G11280,2_1,2,8,3,25,38,7,7,15
AT3G19290,2_1,2,36,4,33,34,22,22,4
AT3G24050,2_1,2,29,19,6,14,7,7,4
AT3G25730,2_1,2,32,5,20,13,16,16,35
AT3G28920,2_1,2,4,6,22,22,21,21,13
AT3G54810,2_1,2,27,19,23,25,10,10,11
AT3G60490,2_1,2,6,14,11,3,23,23,9
AT3G60530,2_1,2,33,19,14,22,37,37,26
AT4G25470,2_1,2,10,22,26,13,31,31,22
AT4G28140,2_1,2,9,14,30,24,19,19,9
AT4G29080,2_1,2,18,2,34,35,6,6,25
AT4G31550,2_1,2,29,16,18,11,32,32,13
AT4G36730,2_1,2,26,8,3,2,14,14,23
AT4G36900,2_1,2,23,25,10,12,3,3,21
AT4G37790,2_1,2,10,19,21,25,13,13,3
AT5G01200,2_1,2,11,14,9,16,23,23,9
AT5G05410,2_1,2,30,5,13,5,13,13,14
AT5G05790,2_1,2,38,11,5,33,29,29,9
AT5G06960,2_1,2,25,6,23,19,12,12,20
AT5G10510,2_1,2,37,9,2,16,24,24,33
AT5G13330,2_1,2,33,1,8,10,19,19,35
AT5G25810,2_1,2,33,19,29,13,3,3,14
AT5G25830,2_1,2,8,9,16,23,35,35,31
AT5G28040,2_1,2,26,7,33,2,10,10,21
AT5G37020,2_1,2,31,10,31,22,33,33,13
AT5G43700,2_1,2,27,8,3,2,6,6,7
AT5G44160,2_1,2,16,22,16,3,23,23,33
AT5G44210,2_1,2,1,9,32,1,36,36,37
AT5G47220,2_1,2,32,30,27,5,7,7,31
AT5G54680,2_1,2,38,28,3,31,8,8,7
AT5G60850,2_1,2,25,8,1,25,7,7,7
AT5G61590,2_1,2,22,3,3,6,7,7,19
AT5G61890,2_1,2,19,18,9,28,4,4,33
AT5G62610,2_1,2,10,7,34,2,14,14,32
AT1G14580,3_1,3,20,2,26,13,29,29,31
AT1G71130,3_1,3,25,32,19,19,6,6,13
AT2G23290,3_1,3,4,4,30,26,26,26,9
AT1G77450,4_1,4,17,24,20,27,13,13,20
AT4G00940,4_1,4,21,14,35,26,31,31,31
AT3G61850,5_1,5,6,11,35,13,35,35,9
AT1G01380,1_2,6,20,13,32,13,5,5,22
AT1G04240,1_2,6,11,12,25,14,10,10,28
AT1G05710,1_2,6,0,21,18,22,11,11,11
AT1G09250,1_2,6,0,15,21,17,13,13,15
AT1G14920,1_2,6,29,26,25,2,14,14,15
AT1G34670,1_2,6,28,14,15,28,24,24,33
AT1G51600,1_2,6,36,6,31,18,37,37,25
AT1G58220,1_2,6,31,9,4,7,37,37,1
AT1G80840,1_2,6,17,30,5,38,1,1,31
AT3G15500,1_2,6,8,22,10,10,19,19,5
AT3G23690,1_2,6,10,19,33,2,22,22,21
AT3G54220,1_2,6,13,3,31,34,2,2,12
AT4G32040,1_2,6,7,10,23,14,6,6,21
AT4G37650,1_2,6,8,9,12,20,29,29,25
AT4G37940,1_2,6,27,13,11,3,34,34,9
AT4G38340,1_2,6,28,20,28,8,18,18,33
AT5G07680,1_2,6,28,23,11,36,24,24,27
AT5G15150,1_2,6,33,9,32,26,34,34,20
AT5G16770,1_2,6,21,14,9,28,24,24,33
AT5G24590,1_2,6,14,16,18,25,13,13,13
AT5G26660,1_2,6,33,25,29,13,35,35,13
AT5G38140,1_2,6,35,18,22,4,31,31,33
AT5G52660,1_2,6,25,6,17,18,27,27,18
AT1G04100,2_2,7,23,4,10,12,16,16,24
AT1G06070,2_2,7,29,15,17,34,12,12,11
AT1G06180,2_2,7,35,15,12,20,26,26,8
AT1G08320,2_2,7,18,7,8,36,23,23,29
AT1G19000,2_2,7,32,3,38,35,8,8,7
AT1G26960,2_2,7,5,18,10,15,5,5,35
AT1G27730,2_2,7,17,30,13,38,28,28,16
AT1G30490,2_2,7,1,6,19,22,37,37,31
AT1G32640,2_2,7,12,16,6,35,8,8,15
AT1G64530,2_2,7,26,2,12,1,29,29,22
AT1G73730,2_2,7,36,15,31,19,12,12,11
AT1G79180,2_2,7,16,14,10,21,20,20,31
AT2G16720,2_2,7,38,21,37,15,9,9,21
AT2G20880,2_2,7,11,13,9,21,36,36,33
AT2G23320,2_2,7,14,27,34,14,1,1,4
AT2G25650,2_2,7,28,23,4,7,22,22,34
AT2G30590,2_2,7,31,7,23,14,27,27,11
AT2G33480,2_2,7,2,15,6,2,6,6,19
AT2G35940,2_2,7,16,8,6,11,7,7,19
AT2G48100,2_2,7,10,26,33,2,6,6,29
AT3G11440,2_2,7,7,25,10,12,33,33,25
AT3G14180,2_2,7,29,18,17,18,27,27,25
AT3G16350,2_2,7,10,21,10,13,3,3,2
AT3G20840,2_2,7,37,22,30,28,24,24,33
AT3G24120,2_2,7,3,10,33,25,12,12,29
AT3G25790,2_2,7,5,9,7,3,23,23,9
AT3G50260,2_2,7,19,5,20,33,10,10,22
AT3G50410,2_2,7,34,25,10,20,5,5,33
AT3G61630,2_2,7,16,27,10,12,3,3,1
AT3G61890,2_2,7,19,24,25,11,11,11,7
AT3G62100,2_2,7,9,22,2,26,25,25,31
AT4G00730,2_2,7,37,19,1,11,21,21,4
AT4G05100,2_2,7,24,1,16,37,17,17,18
AT4G17500,2_2,7,12,27,20,5,13,13,34
AT4G18770,2_2,7,20,13,30,29,20,20,9
AT4G18880,2_2,7,23,27,18,33,21,21,34
AT4G24470,2_2,7,10,8,33,14,6,6,38
AT4G30935,2_2,7,22,4,4,4,2,2,34
AT4G35040,2_2,7,10,26,33,14,6,6,12
AT4G36740,2_2,7,11,13,11,29,23,23,9
AT4G36930,2_2,7,37,2,10,20,20,20,34
AT5G08130,2_2,7,26,10,34,2,14,14,23
AT5G09330,2_2,7,10,3,34,2,14,14,29
AT5G10280,2_2,7,2,21,11,29,25,25,16
AT5G14000,2_2,7,13,15,8,13,34,34,35
AT5G18680,2_2,7,38,26,34,25,21,21,21
AT5G22570,2_2,7,19,29,7,24,15,15,8
AT5G25390,2_2,7,35,20,28,16,26,26,9
AT5G25890,2_2,7,10,8,20,15,16,16,36
AT5G54230,2_2,7,28,9,11,3,23,23,6
AT5G54470,2_2,7,25,13,36,1,3,3,2
AT5G58010,2_2,7,33,15,32,37,26,26,9
AT5G63280,2_2,7,4,6,12,7,33,33,25
AT5G65790,2_2,7,21,25,7,3,23,23,37
AT5G67190,2_2,7,35,22,30,21,20,20,31
AT1G69490,3_2,8,13,29,6,10,19,19,6
AT1G72360,3_2,8,2,34,37,32,29,29,31
AT2G28710,3_2,8,35,13,29,21,15,15,9
AT2G40740,3_2,8,35,29,30,24,29,29,31
