,AGL42_MEAN,APL_MEAN,COBL9_MEAN,CORE_MEAN,CORTEX_MEAN,CYC_MEAN,E30_MEAN,gl2_MEAN,J0571_MEAN,J2661_MEAN,JO121_MEAN,LRC_MEAN,pet111_MEAN,rm1000_MEAN,S4_MEAN,S17_MEAN,S18_MEAN,S32_MEAN,scr5_MEAN,SUC2_MEAN,WER_MEAN,wol_MEAN,xylem_2501_MEAN
AT1G01010,0.838070004,0.871151978,0.879173627,3.988021944,1.124818444,0.730794028,1.477433922,1.083267137,1.149443634,1.961516847,2.041536325,1.443243428,0.648437541,0.994118479,0.509433469,1.796943293,0.629562505,0.847626393,2.353957531,0.890331582,0.544717888,1.780387969,0.711616227
AT1G01380,0.463037551,0.587089383,0.431790559,1.242151806,0.470692625,0.655935531,1.259130619,0.945103919,0.552100763,1.051210168,0.687179908,0.573574359,0.446427694,0.445928578,0.436568507,0.983088194,0.529514967,0.828934006,0.521042766,0.794666871,0.505748171,0.808924274,0.871177737
AT1G02340,0.549521238,0.495790569,0.70706974,0.940648917,1.221627988,0.561059917,0.651291892,0.598066602,0.625525138,0.474046468,0.606245261,0.635950615,0.446917434,0.514749037,0.426626898,0.563701715,0.539607632,0.53144691,0.596622853,0.566042479,0.580720036,0.621190491,0.702831549
AT1G03840,3.422693222,0.775986583,0.566452318,3.632339494,1.617744944,6.982390998,1.034842912,0.611991125,1.848602387,3.35127872,1.831651889,0.647576225,0.4950007,1.389222582,0.520765836,2.621748052,0.625108268,0.77133325,1.088922723,1.126499673,0.454605653,1.285147693,0.780241872
AT1G04100,1.107451651,3.974847397,1.332065079,1.734200623,0.987926849,0.659675299,1.945875957,1.004118445,1.072912032,1.803504492,1.05825312,1.111821037,2.413625695,0.818944165,1.420249004,1.728881198,4.569435084,3.240828249,1.692665511,1.057607232,0.80346829,1.189358284,0.962141292
AT1G04240,0.466964677,0.88271612,0.46830632,2.205183764,0.610735176,0.694889465,1.104959398,0.551149646,0.584950381,0.612098807,0.604289512,0.543818207,0.612642598,1.125971348,0.784442606,1.20032193,0.701393272,1.16921709,0.553509851,0.936158956,0.421511859,0.75092963,1.136845792
AT1G05805,1.165054394,1.112929467,1.282414611,0.927571889,1.707575792,0.712912967,0.904811001,1.445667515,0.936919933,0.738020379,0.860350199,1.974627923,2.56347104,0.846599031,1.170977952,1.051460118,1.511433958,0.751475516,0.937431973,1.252546268,1.746997349,0.938606837,0.981641155
AT1G06070,1.812684253,1.20627282,1.239727698,1.281063535,1.41835545,1.017993187,0.980307479,1.151970254,1.492887921,1.829625724,1.768343068,1.300622354,2.035329012,1.34823733,2.203736636,1.641378704,1.664173681,1.35250848,1.903881904,1.249931254,1.680105326,1.243207359,1.036140966
AT1G06180,1.003009019,0.58781499,0.522146121,1.146104173,1.170725505,1.173706261,0.67141027,1.229793799,1.620648986,0.875277556,1.086659887,1.062853814,0.577782072,0.558669323,1.02068742,0.58066354,0.646324674,0.696265542,1.119794385,0.629330101,0.944030363,1.071115363,1.176058315
AT1G07520,1.362590001,0.843717774,1.106495191,0.674944479,1.108045271,0.731852599,0.943665075,1.098297416,0.951121256,0.862646468,1.115221859,0.981601567,1.54758699,0.951967697,0.829767358,0.855146394,0.7660088,0.655037804,0.908117455,0.914382765,1.346047195,0.955546559,0.772581647
AT1G08320,1.473145776,1.141682936,1.669304838,2.041751893,2.726126089,0.887758225,8.271001593,1.391594521,1.916388598,0.97914836,0.951699561,1.271451865,0.909205906,0.914879833,0.760366825,0.890426785,0.907156883,1.012664661,2.232673769,1.166979151,0.867217935,1.797607035,1.115805573
