Genotype,Area,Mean,Mean.Area,
 pSHR::GFP,15169.318,441.423,0.029099726,
 pSHR::GFP,8041.805,602.01,0.074860059,
 pSHR::GFP,8626.391,297.66,0.034505739,
 pSHR::GFP,14906.23,423,0.028377397,
 pSHR::GFP,7622.795,693.353,0.090957844,
 pSHR::GFP,14912.023,409.848,0.0274844,
 pSHR::GFP,16636.336,444.145,0.026697285,
 pSHR::GFP,14703.001,426.859,0.0290321,
 pSHR::GFP,12888.9,487.692,0.03783814,
 pSHR::GFP,12183.148,498.781,0.04094024,
 pSHR::GFP,6126.331,482.064,0.078687227,
 pSHR::GFP,8475.779,513.406,0.060573311,
 pSHR::GFP,9340.349,576.459,0.061717073,
 pSHR::GFP,8333.374,468.753,0.056250085,
 pSHR::GFP,8038.908,303.99,0.037814838,
 pSHR::GFP,8308.755,637.644,0.076743628,
 pSHR::GFP,8715.213,362.12,0.041550333,
 pSHR::GFP,11190.655,509.28,0.0455094,
 pSHR::GFP,12684.222,529.733,0.041763145,
 pSHR::GFP,8984.577,328.099,0.036518024,
 pSHR::GFP,10054.307,507.301,0.050456088,
 pSHR::GFP,5617.05,761.866,0.135634541,
 pSHR::GFP,7469.769,474.248,0.063488978,
at2g44730,7636.311,540.969,0.070841667,
at2g44730,8777.968,540.719,0.061599564,
at2g44730,7200.888,573.062,0.079582129,
at2g44730,6485.965,512.483,0.079014148,
at2g44730,12838.213,396.945,0.030919023,
at2g44730,6317.009,614.013,0.097199956,
at2g44730,2425.72,915.94,0.377595106,
at2g44730,8371.509,487.478,0.058230601,
at2g44730,11080.592,473.642,0.042745189,0.229818774
bzip17,8857.136,467.423,0.052773605,
bzip17,9186.841,456.299,0.04966876,
bzip17,11501.533,417.553,0.036304117,
bzip17,6485.482,573.013,0.088353186,
bzip17,8771.693,525.16,0.059869856,
bzip17,4646.279,522.685,0.112495397,
bzip17,8703.628,476.304,0.054724765,0.278389205
crf8,14412.397,353.669,0.024539221,
crf8,12827.593,314.852,0.024544901,
crf8,9174.773,508.33,0.055405186,
crf8,11982.332,460.154,0.038402708,
crf8,10641.308,487.288,0.045792115,
crf8,9756.946,425.489,0.04360883,
crf8,12926.553,359.356,0.027799832,0.145724329
erf6,7522.387,647.449,0.086069621,
erf6,13973.595,383.138,0.027418714,
erf6,8947.889,486.374,0.054356284,
erf6,8529.362,534.466,0.062661897,
erf6,17132.1,394.671,0.023036931,
erf6,15861.553,436.136,0.027496425,
erf6,11661.799,463.389,0.039735636,
erf6,13018.272,418.976,0.032183688,0.424397353
stk01,8590.669,347.924,0.040500222,
stk01,10452.56,527.986,0.050512602,
stk01,6443.002,346.075,0.053713316,
stk01,17647.173,366.4,0.020762532,
stk01,10658.203,362.641,0.034024591,0.30787113
pSHR_E2,13072.82,447.178,0.034206698,
pSHR_E2,13022.616,422.308,0.032428815,
pSHR_E2,11484.155,423.431,0.036870889,
pSHR_E2,12082.74,1599.427,0.132372872,
pSHR_E2,8703.145,585.001,0.067217196,
T1666_E2,12620.985,433.508,0.034348191,
T1666_E2,11762.207,472.387,0.040161425,
T1666_E2,13557.481,490.588,0.036185778,
T1666_E2,12419.686,474.549,0.03820942,
T1666_E2,11293.476,500.041,0.044276979,
T1666_E2,15349.376,410.772,0.026761479,
T1666_E2,16436.485,362.833,0.022074854,
T1666_E2,10483.455,523.942,0.049977989,0.140737682
