Genotype,Raw.Int.Den.10^5,Raw.Int.Den,Type,Color
pSHR-erGFP,7.04153,704153,N.A,Blue
pSHR-erGFP,6.31119,631119,N.A,Blue
pSHR-erGFP,9.05109,905109,N.A,Blue
pSHR-erGFP,3.54859,354859,N.A,Blue
pSHR-erGFP,6.53374,653374,N.A,Blue
pSHR-erGFP,9.08401,908401,N.A,Blue
pSHR-erGFP,7.01268,701268,N.A,Blue
pSHR-erGFP,3.61788,361788,N.A,Blue
pSHR-erGFP,9.44001,944001,N.A,Blue
pSHR-erGFP,3.94572,394572,N.A,Blue
pSHR-erGFP,6.58937,658937,N.A,Blue
pSHR-erGFP,5.94807,594807,N.A,Blue
pSHR-erGFP,7.8273,782730,N.A,Blue
pSHR-erGFP,9.33895,933895,N.A,Blue
pSHR-erGFP,3.97209,397209,N.A,Blue
pSHR-erGFP,6.25819,625819,N.A,Blue
pSHR-erGFP,6.04914,604914,N.A,Blue
pSHR-erGFP,6.21813,621813,N.A,Blue
pSHR-erGFP,7.46679,746679,N.A,Blue
pSHR-erGFP,8.67837,867837,N.A,Blue
pSHR-erGFP,6.4598,645980,N.A,Blue
pSHR-erGFP,8.87277,887277,N.A,Blue
pSHR-erGFP,3.42536,342536,N.A,Blue
pSHR-erGFP,6.40352,640352,N.A,Blue
pSHR-erGFP,9.07973,907973,N.A,Blue
pSHR-erGFP,6.99015,699015,N.A,Blue
at2g44730,7.21872,721872,Repressor,Red
at2g44730,5.24628,524628,Repressor,Red
at2g44730,6.3964,639640,Repressor,Red
at2g44730,6.16257,616257,Repressor,Red
at2g44730,6.61162,661162,Repressor,Red
at2g44730,6.6303,663030,Repressor,Red
at2g44730,7.03318,703318,Repressor,Red
at2g44730,7.01747,701747,Repressor,Red
bzip17,7.10011,710011,Repressor,Red
bzip17,5.51287,551287,Repressor,Red
bzip17,6.9555,695550,Repressor,Red
bzip17,7.01204,701204,Repressor,Red
bzip17,5.12036,512036,Repressor,Red
bzip17,6.13341,613341,Repressor,Red
bzip17,5.93785,593785,Repressor,Red
erf6,6.19255,619255,Repressor,Red
erf6,6.85191,685191,Repressor,Red
erf6,5.89274,589274,Repressor,Red
erf6,5.57483,557483,Repressor,Red
erf6,6.3312,633120,Repressor,Red
erf6,5.94324,594324,Repressor,Red
erf6,5.64438,564438,Repressor,Red
erf6,8.13319,813319,Repressor,Red
crf8,4.13093,413093,Activator,Green
crf8,5.27347,527347,Activator,Green
crf8,5.16698,516698,Activator,Green
crf8,6.79331,679331,Activator,Green
crf8,5.97947,597947,Activator,Green
crf8,2.34796,234796,Activator,Green
crf8,4.96921,496921,Activator,Green
stk01,5.08651,508651,Activator,Green
stk01,5.39168,539168,Activator,Green
stk01,3.14065,314065,Activator,Green
stk01,6.77602,677602,Activator,Green
stk01,3.88564,388564,Activator,Green
