,AT5G65310,AT1G26960,AT1G69780,AT5G63790,AT1G77450,AT3G04070,AT2G40620,AT1G06070,AT2G31370,AT2G02070,AT1G03840,AT1G14580,AT5G22570,AT3G21175,AT4G24470,AT3G19290,AT4G34000,AT3G16870,AT5G26930,AT3G10500,AT5G09330,AT1G22640,AT2G16720,AT1G05805,AT1G51140,AT1G12610,AT1G12630,AT3G60530,AT4G01250,AT1G50640,AT1G69310,AT5G47230,AT1G22985,AT1G27730,AT1G28370,AT1G44830,AT3G24050,AT3G54810,AT2G47260,AT3G15210,AT2G38470,AT2G44840,AT2G22430,AT2G23320,AT2G24570,AT2G30590,AT5G13330,AT5G47220,AT4G17490,AT4G17500,AT4G25470,AT4G34680,AT1G13960,AT4G26640,AT3G49930,AT5G43170,AT5G62610,AT1G10120,AT1G68920,AT5G25830,AT5G66320,AT3G60490,AT5G51990,AT5G44210,AT5G13910,AT5G18560,AT5G61590,AT5G61890,AT3G61630,AT1G71130,AT4G28140
AT5G65310,1,0,0,0,0,0,0,0,0,0.5,1,0.33,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.04,0,1,0,0,0,0,0
AT1G26960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G69780,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.03,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.11,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.05,0,0,0.05,0
AT5G63790,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.08,0.11,0,0,0,0,0,0.25,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0.14,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.2,0.04,0,0,0.05,0,0,0.04,0
AT1G77450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.08,0.13,0,0,0.33,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.11,0.1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0.04,0,0,0.05,0,0,0.1,0
AT3G04070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,1,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0.2,0,0,0.11,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0.04,0.5,0,0.05,0,0,0,0
AT2G40620,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.13,0,0,0,0,0,0,0.29,0.4,0.4,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.2,0,0,0,0.25,0,0.05,0,0,0.04,0
AT1G06070,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.04,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.33,0,0,0,0.11,0,0,0,0.25,0,0,0,0,0,0.14,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.33
AT2G31370,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G02070,0.5,0,0,0,0,0,0,0,0,1,0.5,0.67,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.25,0.04,0,0.5,0,0,0,0,0.33
AT1G03840,1,0,0,0,0,0,0,0,0,0.5,1,0.33,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.04,0,1,0,0,0,0,0
AT1G14580,0.33,0,0,0,0,0,0,0,0,0.67,0.33,1,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0.08,0,0.33,0,0,0,0,0.25
AT5G22570,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G21175,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0.03,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.05,0,0,0.05,0
AT4G24470,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G19290,0.03,0,0.03,0.06,0.03,0.03,0.06,0.07,0.03,0.03,0.03,0.06,0.03,0.03,0,1,0.03,0.03,0.03,0.03,0.03,0.06,0,0,0,0.38,0.12,0.13,0.03,0.13,0.03,0.09,0.07,0,0,0.03,0.13,0.13,0.06,0.24,0,0.03,0.03,0,0.06,0,0.15,0.22,0.13,0.03,0.06,0.06,0.07,0.03,0.07,0.03,0.09,0,0.1,0.12,0.1,0.03,0.03,0.56,0.07,0.03,0.32,0,0.03,0.42,0.03
