Motif,Motif Start Position Relative to ATG,stop,strand,FIMO Score,TF AgID from Y1H Interaction,Y1H Validated,Size
M0031,2303,2312,+,7.34343,AT1G12610,blue,3
M0031,326,347,-,2.58163,AT1G12610,blue,3
M0031,1435,1456,+,1.11224,AT1G12610,blue,3
M0031,1713,1734,+,1.05102,AT1G12610,blue,3
M0031,2846,2867,-,2.77551,AT1G12610,blue,3
M0031,326,347,+,2.7156,AT1G12610,blue,3
M0031,1713,1734,-,1.73394,AT1G12610,blue,3
M0031,2846,2867,+,4.06422,AT1G12610,blue,3
M0031,326,347,-,0.510204,AT1G12610,blue,3
M0031,1004,1025,-,-0.0612245,AT1G12610,blue,3
M0031,2297,2318,-,-1.91837,AT1G12610,blue,3
M0031,327,349,-,3.00917,AT1G12610,blue,3
M0031,1005,1027,-,0.0366972,AT1G12610,blue,3
M0031,2298,2320,-,-0.412844,AT1G12610,blue,3
M0032,2302,2311,+,6.33673,AT1G12610,blue,3
M0042,1452,1461,+,4.72449,AT1G12610,blue,3
M0773,272,280,-,8.0099,AT1G69780,blue,3
M0773,336,344,-,7.57426,AT1G69780,blue,3
M0773,338,346,+,8.09901,AT1G69780,blue,3
M0773,525,533,-,8.88119,AT1G69780,blue,3
M0773,527,535,+,8.69307,AT1G69780,blue,3
M0773,840,848,-,7.38614,AT1G69780,blue,3
M0773,842,850,+,7.85149,AT1G69780,blue,3
M0773,1230,1238,-,8.09901,AT1G69780,blue,3
M0773,1232,1240,+,8.27723,AT1G69780,blue,3
M0773,1744,1752,+,8.64356,AT1G69780,blue,3
M0773,2059,2067,-,7.54455,AT1G69780,blue,3
M0773,2651,2659,-,7.82178,AT1G69780,blue,3
M0773,330,352,-,2,AT1G69780,blue,3
M0773,834,856,+,3.68182,AT1G69780,blue,3
M0773,1054,1076,-,2.80909,AT1G69780,blue,3
M0773,1736,1758,-,2.8,AT1G69780,blue,3
M0773,329,351,-,4.1,AT1G69780,blue,3
M0773,518,540,-,3.04545,AT1G69780,blue,3
M0773,520,542,+,2.93636,AT1G69780,blue,3
M0773,835,857,+,2.04545,AT1G69780,blue,3
M0773,1053,1075,-,4.09091,AT1G69780,blue,3
M0773,1314,1336,+,1.93636,AT1G69780,blue,3
M0773,1735,1757,-,4.51818,AT1G69780,blue,3
M0784,338,345,+,13.3267,AT1G69780,blue,3
M0784,526,533,-,13.3267,AT1G69780,blue,3
M0784,779,786,+,4.94059,AT1G69780,blue,3
M0784,842,849,+,4.27723,AT1G69780,blue,3
M0784,946,953,-,6.15842,AT1G69780,blue,3
M0784,1231,1238,-,13.3267,AT1G69780,blue,3
M0784,1232,1239,+,4.72277,AT1G69780,blue,3
M0784,1320,1327,-,3.85149,AT1G69780,blue,3
M0784,1517,1524,-,3.85149,AT1G69780,blue,3
M0784,2505,2512,+,3.85149,AT1G69780,blue,3
M0784,2529,2536,+,6.65347,AT1G69780,blue,3
M0784,2931,2938,+,3.83168,AT1G69780,blue,3
M0784,519,541,+,3.83929,AT1G69780,blue,3
M0784,1736,1758,-,2.52679,AT1G69780,blue,3
M0784,329,351,-,3.65766,AT1G69780,blue,3
M0784,393,415,+,1.78378,AT1G69780,blue,3
M0784,520,542,+,6.97297,AT1G69780,blue,3
M0784,1735,1757,-,4.93694,AT1G69780,blue,3
M0784,2974,2996,-,2.84685,AT1G69780,blue,3
M1116,273,282,-,7.52475,AT1G69780,blue,3
M1116,336,345,+,8.0495,AT1G69780,blue,3
M1116,525,534,+,8.76238,AT1G69780,blue,3
M1116,526,535,-,8.25743,AT1G69780,blue,3
M1116,840,849,+,7.47525,AT1G69780,blue,3
M1116,1112,1121,-,7.52475,AT1G69780,blue,3
M1116,1231,1240,-,8.12871,AT1G69780,blue,3
M1730,273,280,-,8.52475,AT1G69780,blue,3
M1730,337,344,-,11.0198,AT1G69780,blue,3
M1730,527,534,+,13.4059,AT1G69780,blue,3
M1730,654,661,+,7.20792,AT1G69780,blue,3
M1730,841,848,-,11.0198,AT1G69780,blue,3
M1730,1075,1082,+,8.9604,AT1G69780,blue,3
M1730,1232,1239,+,11.7525,AT1G69780,blue,3
M1730,2528,2535,-,7.68317,AT1G69780,blue,3
M1730,2652,2659,-,8.52475,AT1G69780,blue,3
M1730,2720,2727,+,7.44554,AT1G69780,blue,3
M1827,274,282,+,4.71287,AT1G69780,blue,3
M1827,336,344,-,8.66337,AT1G69780,blue,3
M1827,338,346,+,5.05941,AT1G69780,blue,3
M1827,525,533,-,7.9901,AT1G69780,blue,3
M1827,527,535,+,11.8812,AT1G69780,blue,3
M1827,777,785,-,4.61386,AT1G69780,blue,3
M1827,840,848,-,9.74257,AT1G69780,blue,3
M1827,842,850,+,7.60396,AT1G69780,blue,3
M1827,947,955,+,5.60396,AT1G69780,blue,3
M1827,1075,1083,+,6.44554,AT1G69780,blue,3
M1827,1230,1238,-,5.05941,AT1G69780,blue,3
M1827,1232,1240,+,10.198,AT1G69780,blue,3
M1827,2527,2535,-,6.31683,AT1G69780,blue,3
M2264,334,347,-,7.9802,AT1G69780,blue,3
M2264,523,536,-,3.76238,AT1G69780,blue,3
M2264,524,537,+,14.9505,AT1G69780,blue,3
M2264,838,851,-,13.4851,AT1G69780,blue,3
M2264,1228,1241,-,3.82178,AT1G69780,blue,3
M2264,1229,1242,+,8.68317,AT1G69780,blue,3
M2264,1318,1331,+,2.84158,AT1G69780,blue,3
M2264,1515,1528,+,2.66337,AT1G69780,blue,3
M2265,67,75,+,7.51485,AT1G69780,blue,3
M2265,526,534,-,8.23762,AT1G69780,blue,3
M2265,526,534,+,5.71287,AT1G69780,blue,3
M2265,841,849,+,6.32673,AT1G69780,blue,3
M2265,946,954,+,5.82178,AT1G69780,blue,3
M2265,1112,1120,+,7.68317,AT1G69780,blue,3
M2265,1137,1145,+,9.0495,AT1G69780,blue,3
M2265,1756,1764,+,8.17822,AT1G69780,blue,3
M2265,2528,2536,-,7,AT1G69780,blue,3
M0007,1452,1460,+,8.92857,AT1G71130,blue,3
M0007,1463,1485,-,0.0550459,AT1G71130,blue,3
M0007,1466,1488,+,3.11009,AT1G71130,blue,3
M0016,1278,1287,-,7.82828,AT1G71130,blue,3
M0016,1453,1462,+,9,AT1G71130,blue,3
M0016,2017,2026,-,7.82828,AT1G71130,blue,3
M0016,2845,2866,+,7.32653,AT1G71130,blue,3
M0016,1272,1294,-,2.54128,AT1G71130,blue,3
M0016,2845,2867,+,4.69725,AT1G71130,blue,3
M0016,325,346,+,7.73394,AT1G71130,blue,3
M0016,2296,2317,+,1.52294,AT1G71130,blue,3
M0016,2687,2709,+,0.204082,AT1G71130,blue,3
M0016,2845,2867,+,3.5102,AT1G71130,blue,3
M0033,1452,1459,+,8.79592,AT1G71130,blue,3
M0033,1445,1466,+,8.73469,AT1G71130,blue,3
M0033,1446,1467,+,11.7347,AT1G71130,blue,3
M0017,1446,1468,+,4.00813,AT2G31230,blue,3
M0017,286,307,+,3.04082,AT2G31230,blue,3
M0017,286,308,-,1.07143,AT2G31230,blue,3
M0263,1845,1854,+,6.90099,AT2G40950,blue,3
M0263,2151,2160,-,8.23762,AT2G40950,blue,3
M0263,1433,1454,-,6.69725,AT2G40950,blue,3
M0263,1443,1464,+,3.49541,AT2G40950,blue,3
M0263,2144,2165,+,5.14679,AT2G40950,blue,3
M0263,2231,2252,-,5.27523,AT2G40950,blue,3
M0263,1446,1467,-,5.31915,AT2G40950,blue,3
M0263,2081,2102,+,5.60993,AT2G40950,blue,3
M0263,821,842,-,8.55046,AT2G40950,blue,3
M0263,2144,2165,+,6.05505,AT2G40950,blue,3
M0263,819,841,+,8.56911,AT2G40950,blue,3
M0263,2145,2167,-,5.21138,AT2G40950,blue,3
M0022,1452,1459,+,10.2449,AT3G15210,blue,2
M0022,1465,1486,+,7.79675,AT3G15210,blue,2
M0022,1447,1469,-,1.55046,AT3G15210,blue,2
M0022,1447,1469,-,2.52294,AT3G15210,blue,2
M0256,827,839,-,8.73737,AT3G19290,blue,3
M0256,1528,1540,-,8.23232,AT3G19290,blue,3
M0256,1667,1679,-,8.22222,AT3G19290,blue,3
M0256,2147,2159,+,8.11111,AT3G19290,blue,3
M0256,2897,2909,+,6.9697,AT3G19290,blue,3
M0256,1484,1505,+,6.22535,AT3G19290,blue,3
M0256,315,337,-,9.46207,AT3G19290,blue,3
M0256,984,1006,-,7.18621,AT3G19290,blue,3
M0256,1418,1440,+,6.22759,AT3G19290,blue,3
M0256,153,174,+,5.11009,AT3G19290,blue,3
M0256,317,338,-,2.10092,AT3G19290,blue,3
M0256,1589,1610,-,4.11927,AT3G19290,blue,3
M0256,1589,1610,+,7.11009,AT3G19290,blue,3
M0256,153,174,+,1.97248,AT3G19290,blue,3
M0256,821,842,-,2.83486,AT3G19290,blue,3
M0256,821,842,+,3.68807,AT3G19290,blue,3
M0256,1056,1077,-,5.75229,AT3G19290,blue,3
M0256,1971,1992,-,1.86239,AT3G19290,blue,3
M0256,2006,2027,-,1.04587,AT3G19290,blue,3
M0256,2185,2206,-,3.88991,AT3G19290,blue,3
M0257,827,837,-,7.67677,AT3G19290,blue,3
M0257,1271,1281,+,7.74747,AT3G19290,blue,3
M0257,2899,2909,+,8.12121,AT3G19290,blue,3
M0258,827,836,-,7.81188,AT3G19290,blue,3
M0258,1014,1023,-,7.83168,AT3G19290,blue,3
M0258,1528,1537,-,7.82178,AT3G19290,blue,3
M0258,2708,2717,-,8.48515,AT3G19290,blue,3
M0258,2900,2909,-,8.19802,AT3G19290,blue,3
M0267,317,338,-,5.56338,AT3G19290,blue,3
M0267,1484,1505,+,5.47183,AT3G19290,blue,3
M0267,1524,1545,+,5.76761,AT3G19290,blue,3
M0267,1826,1847,+,6.12676,AT3G19290,blue,3
M0267,1971,1992,+,6.76761,AT3G19290,blue,3
M0267,127,148,+,7.90551,AT3G19290,blue,3
M0267,1030,1051,+,9.13386,AT3G19290,blue,3
M0267,2842,2863,+,12.2756,AT3G19290,blue,3
M0267,317,338,-,6.59155,AT3G19290,blue,3
M0267,2020,2041,+,5.6338,AT3G19290,blue,3
M0267,2894,2915,+,6.42958,AT3G19290,blue,3
M0267,77,98,-,9.0922,AT3G19290,blue,3
M0267,1171,1192,+,5.38298,AT3G19290,blue,3
M0267,2500,2521,+,4.80142,AT3G19290,blue,3
M0267,2523,2544,-,4.80851,AT3G19290,blue,3
M0695,408,414,+,7.0202,AT3G21175,blue,3
M0695,560,566,-,7.51515,AT3G21175,blue,3
M0695,1690,1696,-,7.25253,AT3G21175,blue,3
M0695,162,183,-,7.43636,AT3G21175,blue,3
M0695,400,421,-,7.53636,AT3G21175,blue,3
M0695,429,450,-,7.41818,AT3G21175,blue,3
M0695,500,521,-,5.16364,AT3G21175,blue,3
M0695,582,603,-,5.57273,AT3G21175,blue,3
