Motif,Motif Start Position Relative to ATG,stop,strand,FIMO Score,TF AgID from Y1H Interaction,Y1H Validated,Size
M0151,801,807,+,9.08163,AT1G09530,blue,4
M0151,560,581,-,2.94495,AT1G09530,blue,4
M0151,560,581,+,2.29358,AT1G09530,blue,4
M0151,561,582,+,1.41284,AT1G09530,blue,4
M0151,1768,1789,-,1.37615,AT1G09530,blue,4
M2359,562,578,+,-1.97959,AT1G09530,blue,4
M2359,563,579,-,-2.22449,AT1G09530,blue,4
M0260,600,609,+,7.15306,AT2G21230,blue,2
M0260,762,771,-,12.7959,AT2G21230,blue,2
M0260,764,773,+,8.79592,AT2G21230,blue,2
M0260,757,778,-,10.6239,AT2G21230,blue,2
M0260,757,778,+,8.22936,AT2G21230,blue,2
M0260,756,777,-,9.66972,AT2G21230,blue,2
M0260,605,626,-,2.39091,AT2G21230,blue,2
M0260,757,778,-,2.65455,AT2G21230,blue,2
M0148,1660,1668,+,7.97,AT5G37020,blue,2
M0167,792,814,-,4.4898,AT5G54680,blue,2
M0167,431,452,-,5.72727,AT5G54680,blue,2
M0167,793,814,-,7.72727,AT5G54680,blue,2
M0028,1492,1514,+,6.55455,AT5G61590,blue,4
M0038,1032,1053,-,1.52041,AT5G61590,blue,4
M0009,1652,1673,+,2.95918,,black,1
M0011,1652,1673,+,2.7449,,black,1
M0013,1661,1668,+,9.45918,,black,1
M0016,1527,1548,+,4.72449,,black,1
M0016,1527,1549,+,3.70642,,black,1
M0016,980,1002,-,0.571429,,black,1
M0016,1527,1549,+,1.57143,,black,1
M0017,1134,1156,+,4.49593,,black,1
M0021,777,799,+,1.24771,,black,1
M0026,1972,1993,+,4.68367,,black,1
M0026,1652,1673,+,3.58163,,black,1
M0026,1972,1993,+,5.16327,,black,1
M0026,1506,1527,+,0.744898,,black,1
M0026,1766,1787,+,0.714286,,black,1
M0026,1765,1787,+,3.2551,,black,1
M0026,1971,1993,+,0.846939,,black,1
M0030,1660,1667,+,7.09756,,black,1
M0030,1774,1781,+,7.08943,,black,1
M0030,1653,1674,-,4.09174,,black,1
M0030,1767,1788,-,2.88991,,black,1
M0030,1653,1674,+,6.21951,,black,1
M0030,1767,1788,+,4.56098,,black,1
M0030,1767,1788,-,10.3578,,black,1
M0030,1973,1994,-,2.77064,,black,1
M0030,1768,1790,-,12.8716,,black,1
M0030,1974,1996,-,3.52294,,black,1
M0031,1653,1674,-,2.16327,,black,1
M0031,1767,1788,-,4.89796,,black,1
M0031,1653,1674,+,2.94495,,black,1
M0031,1767,1788,+,5.49541,,black,1
M0031,1767,1788,-,8.84694,,black,1
M0031,1973,1994,-,-1.21429,,black,1
M0031,1768,1790,-,12.1468,,black,1
M0034,1652,1673,+,3.66055,,black,1
M0034,1972,1993,+,6.14679,,black,1
M0034,1652,1673,+,3.66055,,black,1
M0034,1972,1993,+,6.14679,,black,1
M0034,1766,1787,+,1.93878,,black,1
M0034,1917,1938,-,0.132653,,black,1
M0034,1916,1938,+,3.09184,,black,1
M0041,1652,1673,+,1.05102,,black,1
M0074,1034,1043,-,3.52041,,black,1
M0074,1533,1542,+,4.70408,,black,1
M0076,1534,1541,+,4.10204,,black,1
M0081,1601,1608,+,7.24,,black,1
M0081,1661,1668,+,7.36,,black,1
M0082,272,279,-,4.70642,,black,1
M0082,447,454,-,5.42202,,black,1
M0082,1350,1357,+,4.70642,,black,1
M0150,800,807,-,4.44898,,black,1
M0150,794,816,-,1.27523,,black,1
M0150,75,96,+,3.43434,,black,1
M0150,304,325,-,2.22222,,black,1
M0150,304,325,+,3.61616,,black,1
M0150,373,394,-,2.22222,,black,1
M0150,793,814,-,4.75758,,black,1
M0150,793,814,+,2.16162,,black,1
M0150,74,96,-,4.9596,,black,1
M0150,303,325,-,6.42424,,black,1
M0150,430,452,-,3.48485,,black,1
M0150,792,814,-,6.25253,,black,1
M0150,793,815,+,5.38384,,black,1
M0150,1769,1791,+,5.61616,,black,1
M0152,799,808,-,8.36,,black,1
M0152,799,808,+,8.35,,black,1
M0152,793,814,-,1.75758,,black,1
M0152,793,814,+,5.9596,,black,1
M0152,794,815,+,8.88776,,black,1
M0152,304,325,-,3.28,,black,1
M0152,373,394,-,5.57,,black,1
M0152,791,812,-,2.87,,black,1
M0152,791,812,+,5.69,,black,1
M0152,793,814,-,6.23,,black,1
M0152,303,324,+,2.69388,,black,1
M0152,792,813,-,1.23469,,black,1
M0152,792,813,+,4.23469,,black,1
M0153,799,807,-,7.72727,,black,1
M0153,793,814,-,1.29358,,black,1
M0161,799,808,-,7.80198,,black,1
M0161,799,808,+,7.80198,,black,1
M0161,793,814,-,8.33028,,black,1
M0161,792,814,+,0.846939,,black,1
M0161,793,814,+,6.43434,,black,1
M0162,1775,1783,+,7.70707,,black,1
M0162,561,582,+,1.73469,,black,1
M0162,1768,1789,-,2.15306,,black,1
M0162,1769,1790,-,3.53061,,black,1
M0163,793,814,-,3.15306,,black,1
M0163,1051,1072,+,-3.4898,,black,1
M0163,1117,1138,+,-2.5102,,black,1
M0163,1116,1137,-,-0.899083,,black,1
M0163,1133,1154,+,-0.100917,,black,1
M0166,74,96,+,2.91129,,black,1
M0166,303,325,+,4.62097,,black,1
M0166,539,561,+,3.16935,,black,1
M0166,75,96,+,1.84404,,black,1
M0166,304,325,-,2.13761,,black,1
M0166,540,561,+,2.44037,,black,1
M0227,897,905,+,3.76531,,black,1
M0227,1032,1040,+,12.1224,,black,1
M0227,1130,1138,+,3.70408,,black,1
M0251,793,814,-,4.11927,,black,1
M0251,793,814,+,5.61468,,black,1
M0251,792,814,+,3.78571,,black,1
M0251,793,814,+,1.54082,,black,1
M0251,1827,1848,+,2.36735,,black,1
M0251,791,813,+,-0.27551,,black,1
M0253,800,807,+,6.33673,,black,1
M0255,560,581,-,4.62727,,black,1
M0255,1093,1114,+,2.71818,,black,1
M0255,756,777,-,6.42202,,black,1
M0256,796,808,+,7.79798,,black,1
M0256,721,742,-,2.24771,,black,1
M0256,721,742,+,3.62385,,black,1
M0256,836,857,-,6.3578,,black,1
M0256,560,581,-,6.08257,,black,1
M0257,514,524,+,7.45455,,black,1
M0258,1680,1689,-,7.67327,,black,1
M0262,762,771,-,9.53465,,black,1
M0262,757,778,-,6.82258,,black,1
M0262,757,778,+,8.10484,,black,1
M0262,756,777,-,9.86992,,black,1
M0262,757,778,+,3.81301,,black,1
M0263,843,852,-,7.71287,,black,1
M0263,1724,1733,-,6.9901,,black,1
M0263,1530,1551,+,3.22936,,black,1
M0263,1717,1738,+,5.37615,,black,1
M0263,1492,1513,-,6.49645,,black,1
M0263,836,857,+,2.29358,,black,1
M0264,1390,1399,+,7.31,,black,1
M0264,756,777,-,6.66972,,black,1
M0266,429,450,+,4.10909,,black,1
M0266,560,581,-,4.62727,,black,1
M0266,560,581,+,4.25455,,black,1
M0266,560,581,+,7.07258,,black,1
M0266,1093,1114,-,2.95161,,black,1
M0267,526,547,-,10.189,,black,1
M0267,1104,1125,+,7.74803,,black,1
M0267,721,742,-,5.73944,,black,1
M0267,1184,1205,-,6.11268,,black,1
M0267,1385,1406,+,5.90141,,black,1
M0267,248,269,+,5.67376,,black,1
M0267,978,999,+,9.16312,,black,1
M0267,1124,1145,+,9.39716,,black,1
M0268,559,580,-,5.48624,,black,1
M0268,891,912,+,2.54128,,black,1
M0270,582,589,+,8.4898,,black,1
M0270,1500,1507,-,8.5102,,black,1
M0270,1141,1162,-,5.26364,,black,1
M0270,1250,1271,+,5.55455,,black,1
M0270,1341,1362,+,3.73636,,black,1
M0270,1492,1513,-,6,,black,1
M0270,1140,1162,+,5.92661,,black,1
M0270,1341,1363,-,5.06422,,black,1
M0270,1491,1513,+,5.61468,,black,1
M0270,1492,1514,-,3.70642,,black,1
M0270,1141,1162,-,0.838384,,black,1
M0270,1141,1162,+,1.79798,,black,1
M0270,1492,1513,-,-0.909091,,black,1
M0270,1141,1163,-,4.0367,,black,1
M0270,1492,1514,-,1,,black,1
M0270,1768,1790,+,-0.165138,,black,1
M0359,330,336,-,5.50427,,black,1
M0359,1801,1807,-,5.50427,,black,1
M0359,722,743,-,9.57143,,black,1
M0359,722,743,+,8.53968,,black,1
M0359,277,299,-,5.89091,,black,1
M0359,860,882,-,6.15748,,black,1
M0361,1801,1807,-,6.48544,,black,1
M0361,722,743,-,10.04,,black,1
M0361,722,743,+,8.704,,black,1
M0361,1122,1143,-,5.56,,black,1
M0361,1599,1621,-,4.97619,,black,1
M0361,1624,1646,-,6.21429,,black,1
M0361,1797,1819,-,4.59524,,black,1
M0367,1801,1807,-,5.82075,,black,1
M0367,530,551,+,3.24545,,black,1
M0367,1060,1082,+,7.30275,,black,1
M0367,1793,1815,+,7.66055,,black,1
M0367,1795,1817,-,13.8624,,black,1
